Year,Variety,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2004,Cox,0.62,0.63,0.60,0.58,,,,,0.68,0.51,0.53,0.58
2004,Cox,0.40,0.40,0.40,0.42,,,,,0.39,0.33,0.30,0.33
2004,Cox,0.55,0.54,0.50,0.51,,,,,0.64,0.45,0.46,0.50
2004,Discovery,,,,,,,0.75,0.51,0.37,,,
2004,Discovery,,,,,,,0.66,0.33,0.25,,,
2004,Discovery,,,,,,,0.74,0.48,0.32,,,
2004,Egremont Russet,0.57,0.58,0.50,,,,,0.83,0.64,0.59,0.61,0.64
2004,Egremont Russet,0.44,0.48,,,,,,0.83,0.46,0.48,0.46,0.45
2004,Egremont Russet,0.54,0.55,,,,,,0.83,0.63,0.58,0.58,0.59
2004,Other Dessert Apples,0.33,,,,,,,,0.49,0.46,0.44,0.51
2004,Other Dessert Apples,,,,,,,,,,0.34,0.30,0.28
2004,Other Dessert Apples,,,,,,,,,,0.45,0.42,0.31
2004,Worcester Pearmain,,,,,,,,,0.49,0.46,,
2004,Worcester Pearmain,,,,,,,,0.55,0.34,0.37,,
2004,Worcester Pearmain,,,,,,,,,0.48,0.40,,
2004,Other Dessert Apples,,0.46,,,,,,,,0.47,,
2004,Other Dessert Apples,,,,0.22,,,,,,,,
2004,Other Dessert Apples,,,,,,,,,,,,
2004,Gala,0.52,0.52,0.50,0.48,,,,,0.50,0.45,0.45,0.48
2004,Gala,0.42,0.40,0.37,0.44,,,,,,0.34,0.30,0.29
2004,Gala,0.51,0.46,0.44,0.47,,,,,,0.44,0.43,0.44
2004,Other Dessert Apples,,,,,,,0.50,0.30,0.55,0.51,0.44,
2004,Other Dessert Apples,,0.57,,,,,,,0.51,0.44,0.55,
2004,Other Dessert Apples,0.46,0.42,0.49,0.44,,,,,,0.44,0.51,0.49
2004,Jonogold – group,0.50,0.39,0.49,0.41,0.39,0.36,0.49,0.37,0.33,0.40,0.35,0.44
2004,Jonogold – group,,0.50,,,,,0.42,,,,,0.39
2004,Jonogold – group,,0.41,,,,,0.46,,,,,0.43
2004,Other Dessert Apples,,,,,,,,0.58,0.42,,,
2004,Other Dessert Apples,,,,,,,,0.44,0.41,,,
2004,Other Dessert Apples,,,,,,,,0.51,0.42,,,
2005,Cox,0.56,0.59,0.53,0.48,,,,0.75,0.62,0.48,0.51,0.57
2005,Cox,0.32,0.33,0.30,0.27,,,,,0.44,0.34,0.33,0.38
2005,Cox,0.49,0.53,0.40,0.30,,,,,0.57,0.45,0.47,0.52
2005,Discovery,,,,,,,0.83,0.48,0.38,,,
2005,Discovery,,,,,,,,0.32,0.25,,,
2005,Discovery,,,,,,,,0.45,0.30,,,
2005,Egremont Russet,0.58,0.52,0.48,,,,,0.66,0.63,0.52,0.67,0.68
2005,Egremont Russet,0.35,0.32,0.29,,,,,,0.54,0.45,0.46,0.45
2005,Egremont Russet,0.54,0.47,0.42,,,,,,0.62,0.50,0.65,0.65
2005,Other Dessert Apples,0.44,,,,,,,,0.28,0.44,0.43,0.50
2005,Other Dessert Apples,,,,,,,,,,0.34,0.32,
2005,Other Dessert Apples,,,,,,,,,,0.43,0.42,
2005,Worcester Pearmain,,,,,,,,0.47,0.41,0.46,,
2005,Worcester Pearmain,,,,,,,,0.50,0.39,0.30,,
2005,Worcester Pearmain,,,,,,,,0.47,0.41,0.43,,
2005,Other Dessert Apples,,,,,,,,,0.62,0.44,,
2005,Other Dessert Apples,,,,,,,,,,,,
2005,Other Dessert Apples,,,,,,,,,,,,
2005,Gala,0.41,0.43,0.44,0.40,,,,,0.40,0.45,0.44,0.45
2005,Gala,0.27,0.26,0.28,0.26,0.26,,,,0.51,0.40,0.32,0.26
2005,Gala,0.39,0.40,0.37,0.29,,,,,0.40,0.44,0.42,0.39
2005,Other Dessert Apples,,,,,,,,0.53,0.50,0.47,,
2005,Other Dessert Apples,,0.39,,,,,,,,0.44,,
2005,Other Dessert Apples,0.44,0.48,0.48,0.47,0.43,,,,,0.37,0.43,0.51
2005,Jonogold – group,0.44,0.48,0.45,0.48,0.46,0.44,0.44,,,0.45,0.41,0.39
2005,Jonogold – group,,0.29,,0.36,0.33,0.35,,,,0.32,0.33,
2005,Jonogold – group,,0.42,,0.47,0.45,0.38,,,,0.43,0.40,
2006,Cox,0.56,0.50,0.56,0.70,,,,1.04,0.67,0.52,0.55,0.58
2006,Cox,0.36,0.36,0.38,0.46,,,,,0.50,0.35,0.37,0.37
2006,Cox,0.51,0.46,0.50,0.61,,,,,0.64,0.46,0.49,0.51
2006,Discovery,,,,,,,0.73,0.54,0.44,,,
2006,Discovery,,,,,,,,0.39,0.33,,,
2006,Discovery,,,,,,,,0.51,0.39,,,
