2004		Quality	Units	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
FRUIT															
Blackberries	All Varieties	-	£/kg							3.26	3.24	3.61	5.06		
Blackcurrants	All Varieties	-	£/kg							3.32	3.53				
Cherries	Sweet Black	1st	£/kg						1.69	1.72	3.68				
	Sweet Black	2nd	£/kg						1.11	1.08					
	Sweet Black	Ave	£/kg						1.53	1.54					
	Sweet White	1st	£/kg						1.53	1.56					
	Sweet White	2nd	£/kg							1.10					
	Sweet White	Ave	£/kg							1.47					
Cooking Apples	Bramley’s Seedling	1st	£/kg	0.68	0.65	0.66	0.68	0.76	0.82	1.10	0.65	0.51	0.48	0.52	0.52
	Bramley’s Seedling	2nd	£/kg	0.44	0.45	0.39	0.42	0.54	0.58	0.66	0.49	0.37	0.33	0.36	0.37
	Bramley’s Seedling	Ave	£/kg	0.59	0.56	0.51	0.55	0.66	0.70	1.03	0.64	0.49	0.44	0.47	0.47
Damsons	All Varieties	1st	£/kg							0.99	0.98	0.78			
	All Varieties	2nd	£/kg								0.55	0.69			
	All Varieties	Ave	£/kg								0.98	0.76			
Dessert Apples	Cox’s Orange-group	1st	£/kg	0.62	0.63	0.60	0.58					0.68	0.51	0.53	0.58
	Cox’s Orange-group	2nd	£/kg	0.40	0.40	0.40	0.42					0.39	0.33	0.30	0.33
	Cox’s Orange-group	Ave	£/kg	0.55	0.54	0.50	0.51					0.64	0.45	0.46	0.50
	Discovery	1st	£/kg							0.75	0.51	0.37			
	Discovery	2nd	£/kg							0.66	0.33	0.25			
	Discovery	Ave	£/kg							0.74	0.48	0.32			
	Egremont Russet	1st	£/kg	0.57	0.58	0.50					0.83	0.64	0.59	0.61	0.64
	Egremont Russet	2nd	£/kg	0.44	0.48						0.83	0.46	0.48	0.46	0.45
	Egremont Russet	Ave	£/kg	0.54	0.55						0.83	0.63	0.58	0.58	0.59
	Spartan	1st	£/kg	0.33								0.49	0.46	0.44	0.51
	Spartan	2nd	£/kg										0.34	0.30	0.28
	Spartan	Ave	£/kg										0.45	0.42	0.31
	Worcester Pearmain	1st	£/kg									0.49	0.46		
