,Capital or Revenue,Directorate,Transaction Number,Date,Service Area,Expenses Type,Amount,Supplier Name
0,Revenue,Community Wellbeing & Social Care,5105636098,13.11.2013,Public Libraries Central,Marketing Costs,200.00,REDACTED PERSONAL DATA
1,Revenue,Community Wellbeing & Social Care,5105635705,08.11.2013,Drug Misuse - Adults,Charges from Independent Providers,120.00,REDACTED PERSONAL DATA
2,Revenue,Childrens Services,5105637261,20.11.2013,Thompson House Tuition Centre (PRU),Professional Services,240.00,* M BOWDERY T/A SPOTLIGHT BOUTIQUE
3,Revenue,Community Wellbeing & Social Care,5105637069,27.11.2013,Safeguarding Adults,Professional Services,"5,285.00",REDACTED PERSONAL DATA
4,Revenue,Community Wellbeing & Social Care,5105637605,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,695.89,REDACTED PERSONAL DATA
5,Revenue,Community Wellbeing & Social Care,5105637605,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,695.89,REDACTED PERSONAL DATA
6,Revenue,Community Wellbeing & Social Care,5105637605,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,695.89,REDACTED PERSONAL DATA
7,Revenue,Community Wellbeing & Social Care,5105637605,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,695.89,REDACTED PERSONAL DATA
8,Revenue,Community Wellbeing & Social Care,5105637605,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,695.89,REDACTED PERSONAL DATA
9,Revenue,Childrens Services,5105634118,06.11.2013,Duty and Assessment 2,Professional Services,216.90,REDACTED PERSONAL DATA
10,Revenue,Childrens Services,5105636630,13.11.2013,Youth- Newport,General Materials,495.00,REDACTED PERSONAL DATA
11,Revenue,Childrens Services,5105634014,01.11.2013,Pupils with statements - Non-Maintained Schools,Office Equipment,826.50,REDACTED PERSONAL DATA
12,Revenue,Childrens Services,5105634012,01.11.2013,Pupils with statements - Non-Maintained Schools,Transport of Clients,383.50,REDACTED PERSONAL DATA
13,Revenue,Economy & Environment,5105638339,27.11.2013,Old Cowes Enterprise College,Security of Buildings,120.00,REDACTED PERSONAL DATA
14,Revenue,Economy & Environment,5105638339,27.11.2013,Old Cowes Enterprise College,Security of Buildings,50.00,REDACTED PERSONAL DATA
15,Revenue,Economy & Environment,5105638339,27.11.2013,Old Cowes Enterprise College,Security of Buildings,120.00,REDACTED PERSONAL DATA
16,Revenue,Economy & Environment,5105638339,27.11.2013,Love Lane Primary School PO31 7ET,Security of Buildings,30.00,REDACTED PERSONAL DATA
17,Revenue,Economy & Environment,5105638339,27.11.2013,Love Lane Primary School PO31 7ET,Security of Buildings,25.00,REDACTED PERSONAL DATA
18,Revenue,Economy & Environment,5105638339,27.11.2013,Love Lane Primary School PO31 7ET,Security of Buildings,310.00,REDACTED PERSONAL DATA
19,Revenue,Economy & Environment,5105638339,27.11.2013,Old Cowes Enterprise College,Security of Buildings,65.00,REDACTED PERSONAL DATA
20,Revenue,Economy & Environment,5105638339,27.11.2013,Old Cowes Enterprise College,Security of Buildings,310.00,REDACTED PERSONAL DATA
21,Revenue,Economy & Environment,5105638339,27.11.2013,Old Cowes Enterprise College,Security of Buildings,155.00,REDACTED PERSONAL DATA
22,Revenue,Economy & Environment,5105638339,27.11.2013,Old Cowes Enterprise College,Security of Buildings,25.00,REDACTED PERSONAL DATA
23,Revenue,Economy & Environment,5105638339,27.11.2013,Old Cowes Enterprise College,Security of Buildings,60.00,REDACTED PERSONAL DATA
24,Revenue,Economy & Environment,5105638339,27.11.2013,Old Cowes Enterprise College,Security of Buildings,80.00,REDACTED PERSONAL DATA
25,Revenue,Economy & Environment,5105638339,27.11.2013,Old Cowes Enterprise College,Security of Buildings,620.00,REDACTED PERSONAL DATA
26,Revenue,Resources,5105637961,22.11.2013,Capital Receipts,Capital Contractor Payments,100.00,REDACTED PERSONAL DATA
