DFE_NUMBER,URN,COHORT,OVERALL,EDUCATION,HE,TOP_3RD,OXBRIDGE,RUSSELL,OTHERHE,FE,OTHER_EDU,EMPLOYMENT,NOT_SUSTAINED,NOT_CAPTURED,APPREN,GAP,OVERALLPER,EDUCATIONPER,HEPER,TOP_3RDPER,OXBRIDGEPER,RUSSELLPER,OTHERHEPER,FEPER,OTHER_EDUPER,EMPLOYMENTPER,NOT_SUSTAINEDPER,NOT_CAPTUREDPER,APPRENPER,GAPPER
2024000,137181,43,38,33,29,23,SUPP,21,6,SUPP,SUPP,5,SUPP,SUPP,0,SUPP,88%,77%,67%,53%,SUPP,49%,14%,SUPP,SUPP,12%,SUPP,SUPP,0%,SUPP
2024104,100049,58,46,36,31,8,0,5,23,5,0,10,8,4,SUPP,4,79%,62%,53%,14%,0%,9%,40%,9%,0%,17%,14%,7%,SUPP,7%
2024166,100050,136,113,92,76,26,3,10,50,SUPP,SUPP,21,16,7,3,7,83%,68%,56%,19%,2%,7%,37%,SUPP,SUPP,15%,12%,5%,2%,5%
2024196,100051,69,60,50,42,9,0,5,33,8,0,10,6,3,5,SUPP,87%,72%,61%,13%,0%,7%,48%,12%,0%,14%,9%,4%,7%,SUPP
2024275,100052,92,77,67,56,14,0,6,42,SUPP,SUPP,10,9,6,SUPP,5,84%,73%,61%,15%,0%,7%,46%,SUPP,SUPP,11%,10%,7%,SUPP,5%
2024285,100053,123,105,88,68,18,0,4,50,SUPP,SUPP,17,7,11,4,9,85%,72%,55%,15%,0%,3%,41%,SUPP,SUPP,14%,6%,9%,3%,7%
2024611,100054,199,154,115,92,77,SUPP,56,15,SUPP,SUPP,39,25,20,0,28,77%,58%,46%,39%,SUPP,28%,8%,SUPP,SUPP,20%,13%,10%,0%,14%
2024652,100055,50,46,43,36,7,0,5,29,SUPP,SUPP,3,SUPP,SUPP,0,3,92%,86%,72%,14%,0%,10%,58%,SUPP,SUPP,6%,SUPP,SUPP,0%,6%
2024688,100056,73,60,44,35,10,0,6,25,SUPP,SUPP,16,10,3,4,SUPP,82%,60%,48%,14%,0%,8%,34%,SUPP,SUPP,22%,14%,4%,5%,SUPP
2024952,132838,473,406,339,280,98,3,39,182,50,9,67,42,25,12,21,86%,72%,59%,21%,1%,8%,38%,11%,2%,14%,9%,5%,3%,4%
2025401,100059,141,128,115,101,44,0,19,57,9,5,13,9,4,SUPP,4,91%,82%,72%,31%,0%,13%,40%,6%,4%,9%,6%,3%,SUPP,3%
2028018,130403,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2028045,130421,661,545,433,267,52,0,18,215,161,5,112,79,37,14,4,82%,66%,40%,8%,0%,3%,33%,24%,1%,17%,12%,6%,2%,1%
LA,202,1645,1375,1115,835,290,5,155,545,260,20,255,175,100,35,70,83%,68%,51%,17%,SP,9%,33%,16%,1%,16%,11%,6%,2%,4%
2034000,138449,25,18,14,11,0,0,0,11,SUPP,SUPP,4,SUPP,SUPP,4,SUPP,72%,56%,44%,0%,0%,0%,44%,SUPP,SUPP,16%,SUPP,SUPP,16%,SUPP
2034130,100183,84,73,56,42,13,0,7,29,10,5,17,8,3,3,SUPP,87%,67%,50%,15%,0%,8%,35%,12%,6%,20%,10%,4%,4%,SUPP
2034243,137473,49,41,36,28,9,0,5,19,4,4,5,5,3,SUPP,SUPP,84%,73%,57%,18%,0%,10%,39%,8%,8%,10%,10%,6%,SUPP,SUPP
2034250,141163,109,95,88,74,20,0,6,54,9,5,7,6,8,7,4,87%,81%,68%,18%,0%,6%,50%,8%,5%,6%,6%,7%,6%,4%
2034271,141309,115,103,90,72,12,0,SUPP,60,SUPP,SUPP,13,7,5,10,SUPP,90%,78%,63%,10%,0%,SUPP,52%,SUPP,SUPP,11%,6%,4%,9%,SUPP
2034294,100190,182,163,144,98,49,0,27,49,27,19,19,11,8,6,4,90%,79%,54%,27%,0%,15%,27%,15%,10%,10%,6%,4%,3%,2%
2034508,100192,42,40,31,20,12,SUPP,3,8,4,7,9,SUPP,SUPP,6,SUPP,95%,74%,48%,29%,SUPP,7%,19%,10%,17%,21%,SUPP,SUPP,14%,SUPP
2034717,138966,172,151,122,104,15,0,5,89,18,3,29,SUPP,SUPP,7,SUPP,88%,71%,60%,9%,0%,3%,52%,10%,2%,17%,SUPP,SUPP,4%,SUPP
LA,203,850,735,610,475,135,SUPP,55,340,95,50,125,75,35,50,SUPP,87%,72%,56%,16%,SUPP,7%,40%,11%,6%,15%,9%,4%,6%,SUPP
2044283,100277,43,34,31,19,7,0,3,12,7,5,3,SUPP,SUPP,SUPP,SUPP,79%,72%,44%,16%,0%,7%,28%,16%,12%,7%,SUPP,SUPP,SUPP,SUPP
2044302,137442,80,60,57,48,21,0,10,27,SUPP,SUPP,3,12,8,SUPP,6,75%,71%,60%,26%,0%,13%,34%,SUPP,SUPP,4%,15%,10%,SUPP,8%
2044310,100279,103,85,69,60,25,4,17,35,6,3,16,11,7,0,8,83%,67%,58%,24%,4%,17%,34%,6%,3%,16%,11%,7%,0%,8%
2044641,100282,71,63,SUPP,57,22,0,8,35,SUPP,SUPP,SUPP,SUPP,SUPP,0,SUPP,89%,SUPP,80%,31%,0%,11%,49%,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP
2044697,100284,26,22,SUPP,20,7,0,SUPP,13,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,85%,SUPP,77%,27%,0%,SUPP,50%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2044714,100285,61,58,53,50,25,SUPP,10,25,3,0,5,SUPP,SUPP,SUPP,SUPP,95%,87%,82%,41%,SUPP,16%,41%,5%,0%,8%,SUPP,SUPP,SUPP,SUPP
2046905,134693,137,109,89,81,50,3,34,31,5,3,20,19,9,SUPP,12,80%,65%,59%,36%,2%,25%,23%,4%,2%,15%,14%,7%,SUPP,9%
2046906,131062,65,57,52,48,15,0,9,33,SUPP,SUPP,5,SUPP,SUPP,SUPP,SUPP,88%,80%,74%,23%,0%,14%,51%,SUPP,SUPP,8%,SUPP,SUPP,SUPP,SUPP
2046907,131609,74,63,54,43,14,SUPP,9,29,11,0,9,8,3,3,8,85%,73%,58%,19%,SUPP,12%,39%,15%,0%,12%,11%,4%,4%,11%
2046909,136137,17,16,SUPP,SUPP,SUPP,0,0,12,0,0,SUPP,SUPP,SUPP,0,SUPP,94%,SUPP,SUPP,SUPP,0%,0%,71%,0%,0%,SUPP,SUPP,SUPP,0%,SUPP
2048600,133608,415,343,300,189,50,0,19,139,26,85,43,49,23,15,SUPP,83%,72%,46%,12%,0%,5%,33%,6%,20%,10%,12%,6%,4%,SUPP
LA,204,1240,1035,905,695,250,10,125,445,105,100,130,140,65,40,SUPP,83%,73%,56%,20%,1%,10%,36%,9%,8%,11%,11%,5%,3%,SUPP
2054106,139364,6,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2054314,100359,29,25,19,14,3,0,3,11,0,5,6,4,0,SUPP,SUPP,86%,66%,48%,10%,0%,10%,38%,0%,17%,21%,14%,0%,SUPP,SUPP
2054320,133545,223,196,181,150,25,0,8,125,9,22,15,15,12,4,SUPP,88%,81%,67%,11%,0%,4%,56%,4%,10%,7%,7%,5%,2%,SUPP
2054632,138607,101,85,73,58,43,0,32,15,11,4,12,12,4,0,9,84%,72%,57%,43%,0%,32%,15%,11%,4%,12%,12%,4%,0%,9%
2055400,137157,163,152,135,116,94,10,78,22,7,12,17,7,4,6,4,93%,83%,71%,58%,6%,48%,13%,4%,7%,10%,4%,2%,4%,2%
2056905,131752,74,66,SUPP,58,28,SUPP,18,30,SUPP,SUPP,SUPP,5,3,0,3,89%,SUPP,78%,38%,SUPP,24%,41%,SUPP,SUPP,SUPP,7%,4%,0%,4%
2056906,136172,61,51,45,37,13,0,7,24,SUPP,SUPP,6,7,3,0,4,84%,74%,61%,21%,0%,11%,39%,SUPP,SUPP,10%,11%,5%,0%,7%
2058009,130408,592,488,405,256,32,SUPP,12,224,144,5,83,67,37,15,4,82%,68%,43%,5%,SUPP,2%,38%,24%,1%,14%,11%,6%,3%,1%
LA,205,1250,1070,925,690,240,10,160,455,180,55,140,120,65,25,25,86%,74%,55%,19%,1%,13%,36%,14%,4%,11%,9%,5%,2%,2%
2064108,100452,60,54,51,46,17,0,5,29,0,5,3,3,3,0,SUPP,90%,85%,77%,28%,0%,8%,48%,0%,8%,5%,5%,5%,0%,SUPP
2064307,100455,22,20,SUPP,17,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,91%,SUPP,77%,SUPP,0%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2064614,100458,65,54,47,46,11,0,4,35,SUPP,SUPP,7,6,5,SUPP,3,83%,72%,71%,17%,0%,6%,54%,SUPP,SUPP,11%,9%,8%,SUPP,5%
2064651,100459,59,49,39,27,8,0,3,19,7,5,10,SUPP,SUPP,4,SUPP,83%,66%,46%,14%,0%,5%,32%,12%,8%,17%,SUPP,SUPP,7%,SUPP
2064900,136138,206,177,156,136,38,0,12,98,10,10,21,19,10,8,4,86%,76%,66%,18%,0%,6%,48%,5%,5%,10%,9%,5%,4%,2%
2066905,134314,41,38,24,23,17,0,14,6,SUPP,SUPP,14,SUPP,SUPP,SUPP,SUPP,93%,59%,56%,41%,0%,34%,15%,SUPP,SUPP,34%,SUPP,SUPP,SUPP,SUPP
2066906,135587,31,23,SUPP,16,3,0,0,13,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,74%,SUPP,52%,10%,0%,0%,42%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
LA,206,1280,1085,900,665,190,5,90,480,195,40,185,145,50,50,45,85%,70%,52%,15%,SP,7%,37%,15%,3%,14%,11%,4%,4%,4%
2074320,140134,61,52,47,40,35,SUPP,27,5,0,7,5,6,3,SUPP,4,85%,77%,66%,57%,SUPP,44%,8%,0%,11%,8%,10%,5%,SUPP,7%
2075402,141931,166,153,136,131,119,10,94,12,SUPP,SUPP,17,7,6,3,SUPP,92%,82%,79%,72%,6%,57%,7%,SUPP,SUPP,10%,4%,4%,2%,SUPP
2076905,135531,84,80,SUPP,65,33,SUPP,10,32,SUPP,9,SUPP,SUPP,SUPP,SUPP,SUPP,95%,SUPP,77%,39%,SUPP,12%,38%,SUPP,11%,SUPP,SUPP,SUPP,SUPP,SUPP
2078001,130410,31,19,15,14,0,0,0,14,SUPP,SUPP,4,9,3,0,SUPP,61%,48%,45%,0%,0%,0%,45%,SUPP,SUPP,13%,29%,10%,0%,SUPP
2078600,130411,371,329,285,237,42,0,17,195,32,16,44,31,11,8,SUPP,89%,77%,64%,11%,0%,5%,53%,9%,4%,12%,8%,3%,2%,SUPP
LA,207,715,635,560,485,230,15,150,260,40,35,70,55,25,15,SUPP,89%,79%,68%,32%,2%,21%,36%,5%,5%,10%,8%,4%,2%,SUPP
2084223,100624,32,31,23,17,SUPP,0,SUPP,SUPP,SUPP,SUPP,8,SUPP,SUPP,SUPP,SUPP,97%,72%,53%,SUPP,0%,SUPP,SUPP,SUPP,SUPP,25%,SUPP,SUPP,SUPP,SUPP
2084321,100625,64,57,49,39,7,0,4,32,10,0,8,SUPP,SUPP,7,SUPP,89%,77%,61%,11%,0%,6%,50%,16%,0%,13%,SUPP,SUPP,11%,SUPP
2084731,129649,32,23,19,16,7,0,3,9,3,0,4,SUPP,SUPP,SUPP,SUPP,72%,59%,50%,22%,0%,9%,28%,9%,0%,13%,SUPP,SUPP,SUPP,SUPP
2085400,100637,76,73,66,62,25,SUPP,12,37,4,0,7,SUPP,SUPP,7,SUPP,96%,87%,82%,33%,SUPP,16%,49%,5%,0%,9%,SUPP,SUPP,9%,SUPP
2085401,100638,106,94,85,72,26,0,12,46,13,0,9,9,3,5,7,89%,80%,68%,25%,0%,11%,43%,12%,0%,8%,8%,3%,5%,7%
2085402,137093,76,69,57,51,23,SUPP,13,28,SUPP,SUPP,12,3,4,0,5,91%,75%,67%,30%,SUPP,17%,37%,SUPP,SUPP,16%,4%,5%,0%,7%
2085403,100640,26,25,SUPP,17,7,0,SUPP,10,4,SUPP,SUPP,SUPP,SUPP,0,SUPP,96%,SUPP,65%,27%,0%,SUPP,38%,15%,SUPP,SUPP,SUPP,SUPP,0%,SUPP
2085404,137966,53,45,38,32,10,0,7,22,SUPP,SUPP,7,SUPP,SUPP,4,SUPP,85%,72%,60%,19%,0%,13%,42%,SUPP,SUPP,13%,SUPP,SUPP,8%,SUPP
2085405,100642,30,25,17,14,SUPP,0,SUPP,SUPP,SUPP,SUPP,8,SUPP,SUPP,3,SUPP,83%,57%,47%,SUPP,0%,SUPP,SUPP,SUPP,SUPP,27%,SUPP,SUPP,10%,SUPP
2086905,134815,71,58,51,47,6,0,4,41,4,0,7,13,0,SUPP,SUPP,82%,72%,66%,8%,0%,6%,58%,6%,0%,10%,18%,0%,SUPP,SUPP
2088027,130413,97,77,61,15,3,0,SUPP,12,46,0,16,13,7,5,SUPP,79%,63%,15%,3%,0%,SUPP,12%,47%,0%,16%,13%,7%,5%,SUPP
LA,208,665,575,490,380,115,SUPP,60,265,95,10,85,60,25,35,SUPP,87%,74%,58%,17%,SUPP,9%,40%,15%,2%,13%,9%,4%,6%,SUPP
2094204,100741,72,61,52,39,10,SUPP,6,29,SUPP,SUPP,9,7,4,5,5,85%,72%,54%,14%,SUPP,8%,40%,SUPP,SUPP,13%,10%,6%,7%,7%
2094267,100743,110,90,66,46,14,0,4,32,11,9,24,16,4,7,SUPP,82%,60%,42%,13%,0%,4%,29%,10%,8%,22%,15%,4%,6%,SUPP
