LA Number,Establishment Number,URN,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Exclud",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Exclu1",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers
201,3614,100000,22,14,6,17.5,10.2,4.7,13.6,43148
202,2000,136807,7,7,2,5.2,4.7,1.6,14.8,45591
202,2001,139837,8,6,1,6.3,6,1,13.1,49225
202,2002,140686,4,6,1,4,5.4,0.4,21.5,42984
202,2019,100008,25,18,8,23.1,15.9,8,18.1,42507
202,2036,100009,29,23,3,27.9,19.5,3,16.3,43168
202,2065,100010,25,15,7,24.4,12.3,6.6,16.6,42396
202,2078,100011,24,21,13,22.4,16.2,8.9,20.3,40168
202,2095,100012,20,26,7,18.1,16.4,6.1,20.5,46942
202,2184,100013,11,14,5,10.3,9.2,3.5,21.5,43779
202,2219,100014,17,18,3,13.3,13.9,3,16.9,45892
202,2290,100015,6,9,5,5.1,5,4.6,21.8,48315
202,2436,100018,28,29,8,26.9,21.8,7.1,16.5,43636
202,2438,100019,27,26,7,24.4,17.4,6.6,18.1,45823
202,2475,100020,26,34,10,21.9,29.5,8.4,22,42821
202,2502,100021,28,32,12,26.5,24.1,9.5,16.3,42624
202,2507,100022,30,20,12,28.8,16.6,12,15.6,45164
202,2603,100023,22,26,8,21.5,20,6.9,21,41553
202,2775,100025,23,30,13,21,21.1,10.2,22.4,47142
202,2797,100026,13,17,3,11.9,14.2,3,19.5,44857
202,2841,100027,16,17,5,12.7,12.9,3.1,18.7,44752
202,2842,130342,13,20,6,11.3,14.2,4.5,20.6,44747
202,2843,132245,32,15,8,30.1,14,8,19.7,41530
202,3323,100028,13,4,3,11.7,3.4,2.3,15.5,38984
202,3327,100029,15,15,4,14,12.4,3.3,16.4,41821
202,3340,100030,13,10,6,12.5,8.8,5.1,19.1,40896
202,3352,100031,8,8,3,7.6,6.9,3,30.1,38401
202,3359,100032,10,12,3,8.8,8.9,3,21.1,40564
202,3361,100033,12,12,2,10.2,7.9,1.8,20.3,40406
202,3370,100034,21,29,3,17.7,19.5,2.9,13.3,44837
202,3391,100035,21,18,5,18,12,4.2,18.8,45409
202,3398,100036,14,15,4,13.1,11.1,2.8,16.8,45343
202,3400,100037,14,14,2,12.4,12.7,2,18.4,46561
202,3401,100038,11,15,4,9.2,11.8,2.9,21.9,43290
202,3429,100039,15,14,8,14.5,11.4,7.4,20.6,39790
202,3441,100040,15,13,3,12.9,11.2,3,16.5,36971
202,3482,100041,13,10,4,12.3,9.1,4,18.9,44093
202,3517,100042,10,9,5,9.4,8.3,4.7,23.7,43545
202,3521,100043,11,14,4,10.8,12.8,4,21.2,45108
202,3546,100044,10,11,2,9.2,9.4,2,24,43714
202,3560,100045,13,13,5,11.1,11.2,4,20.1,46663
202,3568,100046,14,11,2,11,8.8,2,19.2,43605
202,3649,100047,13,8,4,12.4,7.9,3.1,16.9,49965
202,3655,100048,10,6,4,10,5.8,4,19.8,49930
202,4000,137181,76,19,26,69.7,16.6,22.8,12,43772
202,4001,141164,9,NA,1,8,NA,1,5.7,34919
202,4104,100049,97,16,30,94.8,14,28.2,12.9,46794
202,4166,100050,98,11,35,95.3,10.2,33.6,11.7,42558
202,4196,100051,67,19,25,66,17.5,24,12.6,42371
202,4275,100052,100,21,35,95.6,17.7,28.9,12.6,43260
202,4285,100053,88,32,36,84.6,27.2,30.2,11.5,46211
202,4611,100054,94,17,29,68.2,10.8,24.1,14.8,46902
202,4652,100055,55,11,22,53,11,21.3,11.8,46521
202,4688,100056,70,13,18,64.5,9.4,16.6,13.3,48315
202,5401,100059,88,11,31,80.9,7.7,25.8,14,46431
