ALPHAIND	LEA	ESTAB	URN	SCHNAME	SCHNAME_AC	NFTYPE	TABKS2	PTPRIORLO	PTPRIORAV	PTPRIORHI	PTL2BASICS_LL_PTQ_EE	PTEBACC_15_PTQ_EE	PTL2BASICS_3YR_PTQ_EE	PTAC5EM_PTQ_EE	ATT8SCR	ATT8SCRENG	ATT8SCRMAT	ATT8SCREBAC	ATT8SCROPENG	ATT8SCR_LO	ATT8SCR_AV	ATT8SCR_HI	ATT8SCR_15
11828	201	6007	100003	City of London School	 	IND	0	NP	NP	NP	0.0	0.0	0.0	0.0	42.1	7.3	0	22.2	10.4	NP	NP	NP	NA
11830	201	6005	100001	City of London School for Girls	 	IND	0	NP	NP	NP	0.0	0.0	0.0	0.0	32.2	0	0.2	16.9	13	NP	NP	NP	NA
368	202	4285	100053	Acland Burghley School	 	CY	0	0.13	0.48	0.39	0.6	0.37	0.59	0.53	50.1	11	9.9	14.2	14.5	26	46.8	63.1	NA
9318	202	4611	100054	The Camden School for Girls	 	VA	0	0.12	0.39	0.49	0.78	0.53	0.78	0.77	60.1	13.2	11.7	17.5	16.8	34.8	52.6	71.7	NA
10054	202	6000	137333	CATS College London	 	IND	0	NP	NP	NP	0.0	SUPP	0.0	0.0	3.4	0	0	0.6	2.7	NP	NP	NP	NA
18470	202	6387	100084	Fine Arts College	 	IND	0	NP	NP	NP	0.58	0.0	0.63	0.42	49.4	12.8	9.2	8.8	18.6	NP	NP	NP	NA
22308	202	4275	100052	Hampstead School	 	CY	0	0.26	0.49	0.25	0.59	0.25	0.57	0.52	50	10.5	9.7	14.4	13.7	33.4	50.6	63.2	NA
23176	202	4104	100049	Haverstock School	 	CY	0	0.2	0.61	0.19	0.57	0.11	0.54	0.47	47	9.9	9.6	14	13.3	28	47.9	63	NA
29346	202	5401	100059	La Sainte Union Catholic Secondary School	 	VA	0	0.09	0.54	0.36	0.77	0.42	0.79	0.74	57.6	12.2	10.5	15.8	13.2	34.5	55.2	67	NA
32910	202	4652	100055	Maria Fidelis Roman Catholic Convent School FCJ	 	VA	0	0.18	0.61	0.21	0.65	0.2	0.59	0.59	50.1	11.4	9.7	13.3	15.8	34	52	59.3	NA
36756	202	6269	100074	North Bridge House Senior School	 	IND	0	NP	NP	NP	0.97	0.69	0.9	0.92	62.2	12.8	13.2	18.5	17.7	NP	NP	NP	NA
39932	202	4166	100050	Parliament Hill School	 	CY	0	0.11	0.49	0.4	0.67	0.41	0.67	0.61	55.6	12	10.3	16.2	15.9	34.3	51.8	66.3	NA
42930	202	4196	100051	Regent High School	 	CY	0	0.25	0.62	0.13	0.53	0.11	0.49	0.46	43.8	9.7	8.8	11.8	10.4	32.6	46	57.5	NA
48846	202	6014	100062	St Margaret's School	 	IND	0	NP	NP	NP	1.0	0.88	0.92	1.0	69.6	14.8	13.2	21.7	19.9	NP	NP	NP	NA
54250	202	6307	100076	South Hampstead High School	 	IND	0	NP	NP	NP	0.33	0.0	0.1	0.0	54.5	7.5	5	22	9.1	NP	NP	NP	NA
58806	202	4000	137181	The UCL Academy	 	AC	0					NA			 	 	 	 	 	 	 	 	NA
58910	202	6018	100065	University College School	 	IND	0	NP	NP	NP	0.0	0.0	0.0	0.0	36.9	0	0	21.2	13.8	NP	NP	NP	NA
62228	202	4688	100056	William Ellis School	 	VA	0	0.11	0.48	0.41	0.67	0.34	0.65	0.56	50.6	10.5	10.2	14.8	13	31.8	44.3	61.3	49
4654	203	6376	134827	Bellerbys College London	 	IND	0	NP	NP	NP	0.0	0.0	0.0	0.0	3.3	0	2.4	0	0.9	NP	NP	NP	NA
5812	203	6295	100756	Blackheath High School	 	IND	0	NP	NP	NP	0.93	0.0	0.33	0.0	58	7.2	12.3	20.1	18.5	NP	NP	NP	NA
12488	203	6293	100202	Colfes Junior School	 	IND	0	NP	NP	NP	0.24	0.0	0.37	0.0	49.1	6.3	3.4	20.5	17.9	NP	NP	NP	NA
13068	203	4243	137473	Corelli College	 	ACC	0	0.22	0.57	0.21	0.51	0.08	0.53	0.44	44.7	9.8	9	11.3	12.4	25.3	44.9	60.5	NA
17178	203	4077	100182	Eltham Hill School	 	CY	0	0.1	0.63	0.27	0.59	0.26	0.5	0.55	51.8	11.6	9.6	13.4	14.5	40.3	50.6	61.7	NA
19540	203	6002	140226	Full Circle Education	 	IND	0	NP	NP	NP	0.08	0.0	0.03	0.08	7.8	1.6	0.8	1.2	2.2	NP	NP	NP	NA
21546	203	4001	138245	The Greenwich Free School	 	F	0					NA			 	 	 	 	 	 	 	 	NA
22694	203	4000	138449	Harris Academy Greenwich	 	AC	0	0.22	0.55	0.22	0.58	0.28	0.65	0.54	52.7	10.5	10.1	15.5	12.7	43.3	50.3	64.9	NA
26904	203	4003	142608	International Academy of Greenwich	 	F	0								 	 	 	 	 	 	 	 	 
27506	203	4508	100192	The John Roan School	 	VC	0	0.16	0.55	0.28	0.31	0.28	0.43	0.29	43.2	9.4	7.5	12.9	11.9	25.1	41.3	58.3	NA
40924	203	4130	100183	Plumstead Manor School	 	CY	0	0.18	0.56	0.26	0.59	0.24	0.56	0.56	48.9	10.3	9.6	12.3	10.6	26.6	49.8	64.3	NA
41712	203	6004	141315	Pulse and Water College	 	IND	0	NP	NP	NP	SUPP	SUPP	0.0	SUPP	SUPP	SUPP	SUPP	SUPP	SUPP	NP	NP	NP	NA
43300	203	6300	134402	Right Choice Independent Special School	 	IND	0	NP	NP	NP	0.0	0.0	0.0	0.0	0.3	0	0	0.3	0	NP	NP	NP	NA
43536	203	6169	100200	Riverston School	 	IND	0	NP	NP	NP	0.1	0.0	0.17	0.0	24	5.7	5.4	5.5	4.7	NP	NP	NP	NA
49128	203	3526	100171	Saint Mary Magdalene Church of England All Through School	 	VA	1					NA			 	 	 	 	 	 	 	 	NA
50572	203	6905	105135	St Paul's Academy	 	AC	0	0.11	0.7	0.19	0.73	0.29	0.71	0.62	50.1	11	10.5	12.3	12.5	34.5	49.6	63.1	NA
51562	203	4716	141716	St Thomas More Catholic Comprehensive School	 	ACC	0	0.13	0.53	0.34	0.73	0.33	0.8	0.71	60.6	12.2	10.6	18.5	16.9	42.8	58.5	69.9	NA
51702	203	4682	100193	St Ursula's Convent School	 	VA	0	0.06	0.53	0.41	0.85	0.53	0.81	0.64	59.3	12	11.5	17.5	18.2	39.4	55.3	66.7	NA
52414	203	6377	132777	Schoolhouse Education	 	IND	0	NP	NP	NP	0.0	0.0	0.05	0.0	6.5	2.7	2.7	0	1	NP	NP	NP	NA
55428	203	4271	141309	Stationers Crown Woods Academy	 	ACC	0	0.11	0.58	0.31	0.7	0.28	0.67	0.61	50.5	11	10.1	14.2	14.2	34	47.7	62.9	NA
56046	203	6041	136100	StreetVibes Media Academy	 	IND	0	NP	NP	NP	0.0	NA	0.0	0.0	3.4	0.7	2.3	0	0	NP	NP	NP	NA
57346	203	4294	100190	Thomas Tallis School	 	CY	0	0.18	0.52	0.3	0.59	0.22	0.54	0.58	49.9	10.4	9.1	13.3	12.5	31.7	48.9	62.4	NA
