Variable name,Label,Type,Description
DFE_NUMBER,DfE number of establishment,TEXT,
URN,Unique Reference Number of school or college,TEXT,
COHORT,Number of students completing 16-18 study in 2013/14,INTEGER,
OVERALL,Students staying in education or employment for at least two terms after key stage 5 (number of students),INTEGER,
EDUCATION,Students staying in education for at least two terms after key stage 5 (number of students),INTEGER,"Number of students who have been in a sustained education destination for the first two terms, October 2014 to March 2015. "
HE,UK higher education institution (number of students),INTEGER,Number of students in sustained education at a university or other higher education institution. 
TOP_3RD,Top third of higher education institutions (number of students),INTEGER,Number of students in higher education at a university whose entrants are in the top third for highest UCAS tariff scores based on best three A levels.
RUSSELL,Of which Russell group (number of students),INTEGER,Number of students in higher education at universities which form part of the Russell Group (including Oxford and Cambridge). 
OXBRIDGE,Of which Oxford or Cambridge (number of students),INTEGER,Number of students in higher education at Oxford and Cambridge universities.
OTHERHE,Other higher education institutions or providers (number of students),INTEGER,Number of students in higher education at a university whose entrants are in the remaining two thirds for UCAS tariff scores based on best three A levels or other higher education providers. Includes students studying HE aims at an FE college.
FE,Further education college or other further education provider (number of students),INTEGER,Number of students in sustained education at a further education sector college or other FE provider (not including sixth-form colleges or school sixth forms). Includes students on work-based learning or studying further education in a higher education institution. 
OTHER_EDU,Other education destinations (number of students),INTEGER,"Number of students in other sustained education destinations. Includes students in school sixth forms, sixth-form colleges, special schools, alternative provision or pupil referral units, independent schools or colleges, or students only meeting the October to March participation criteria through a combination of more than one type of education provider."
EMPLOYMENT,Students staying in employment for at least two terms after key stage 5 (number of students),INTEGER,"Number of students who have been in a sustained employment destination for the first two terms, October 2014 to March 2015. This includes students who sustained the two terms through a combination of education and employment."
NOT_SUSTAINED,Students not staying in education or employment for at least two terms after key stage 5 (number of students),INTEGER,Number of students not staying in education or employment. Students either had some education or employment participation in the destination year but it was not sustained from October to March or the students had no participation at all and were known to have claimed out-of-work benefits in the destination year.
NOT_CAPTURED,Activity not captured in data (number of students),INTEGER,"Number of students with no activity captured in data. Students were not found in an education or employment destination. Possible reasons for this could be that the student was living, working or studying abroad, was self-employed, or undertaking activity other than paid work or further study in the UK. "
APPREN,Apprenticeships (number of students),INTEGER,Number of students in apprenticeships. Students are reported as an apprenticeship destination if they sustained education or employment for two terms and had a record of taking a funded apprenticeship at any time between August and July. All apprentices also appear under either employment or education destinations.
GAP,UCAS deferred entries to higher education institutions (number of students),INTEGER,"Number of students recorded by UCAS as having a deferred acceptance to a UK higher education institution for 2015/16. Students are also included in another category based on their activity during the destination year e.g. employment, or with no activity captured."
OVERALLPER,Students staying in education or employment for at least two terms after key stage 5 (percentage),PCT,
EDUCATIONPER,Students staying in education for at least two terms after key stage 5 (percentage),PCT,"Percentage of students who have been in a sustained education destination for the first two terms, October 2014 to March 2015."
HEPER,UK higher education institution (percentage),PCT,Percentage of students in sustained education at a university or other higher education institution. 
TOP_3RDPER,Top third of higher education institutions (percentage),PCT,Percentage of students in higher education at a university whose entrants are in the top third for highest UCAS tariff scores based on best three A levels.
RUSSELLPER,Of which Russell group (percentage),PCT,Percentage of students in higher education at universities which form part of the Russell Group (including Oxford and Cambridge). 
OXBRIDGEPER,Of which Oxford or Cambridge (percentage),PCT,Percentage of students in higher education at Oxford and Cambridge universities.
OTHERHEPER,Other higher education institutions or providers (percentage),PCT,Percentage of students in higher education at a university whose entrants are in the remaining two thirds for UCAS tariff scores based on best three A levels or other higher education providers. Includes students studying HE aims at an FE college.
FEPER,Further education college or other further education provider (percentage),PCT,Percentage of students in sustained education at a further education sector college or other FE provider (not including sixth-form colleges or school sixth forms). Includes students on work-based learning or studying further education in a higher education institution. 
OTHER_EDUPER,Other education destinations (percentage),PCT,"Percentage of students in other sustained education destinations. Includes students in school sixth forms, sixth-form colleges, special schools, alternative provision or pupil referral units, independent schools or colleges, or students only meeting the October to March participation criteria through a combination of more than one type of education provider."
EMPLOYMENTPER,Students staying in employment for at least two terms after key stage 5 (percentage),PCT,"Percentage of students who have been in a sustained employment destination for the first two terms, October 2014 to March 2015. This includes students who sustained the two terms through a combination of education and employment."
NOT_SUSTAINEDPER,Students not staying in education or employment for at least two terms after key stage 5 (percentage),PCT,Percentage of students not staying in education or employment. Students either had some education or employment participation in the destination year but it was not sustained from October to March or the students had no participation at all and were known to have claimed out-of-work benefits in the destination year.
NOT_CAPTUREDPER,Activity not captured in data (percentage),PCT,"Percentage of students with no activity captured in data. Students were not found in an education or employment destination. Possible reasons for this could be that the student was living, working or studying abroad, was self-employed, or undertaking activity other than paid work or further study in the UK. "
APPRENPER,Apprenticeships (percentage),PCT,Percentage of students in apprenticeships. Students are reported as an apprenticeship destination if they sustained education or employment for two terms and had a record of taking a funded apprenticeship at any time between August and July. All apprentices also appear under either employment or education destinations.
GAPPER,UCAS deferred entries to higher education institutions (percentage),PCT,"Percentage of students recorded by UCAS as having a deferred acceptance to a UK higher education institution for 2015/16. Students are also included in another category based on their activity during the destination year e.g. employment, or with no activity captured."
