LAESTAB,URN,COHORT,OVERALL_DEST,APPREN,EMPLOYMENT,EDUCATION,FE,6TH_COL,SCH_6TH,OTHER_EDU,NOT_SUSTAINED,UNKNOWN,OVERALL_DESTPER,APPRENPER,EMPLOYMENTPER,EDUCATIONPER,FEPER,6TH_COLPER,SCH_6THPER,OTHER_EDUPER,NOT_SUSTAINEDPER,UNKNOWNPER
2024104,100049,202,177,SUPP,6,171,25,SUPP,138,SUPP,21,4,88%,SUPP,3%,85%,12%,SUPP,68%,SUPP,10%,2%
2024166,100050,177,167,7,3,164,28,SUPP,125,SUPP,10,0,94%,4%,2%,93%,16%,SUPP,71%,SUPP,6%,0%
2024196,100051,115,97,SUPP,SUPP,SUPP,37,SUPP,58,SUPP,SUPP,SUPP,84%,SUPP,SUPP,SUPP,32%,SUPP,50%,SUPP,SUPP,SUPP
2024275,100052,199,183,SUPP,4,179,34,SUPP,135,SUPP,SUPP,SUPP,92%,SUPP,2%,90%,17%,SUPP,68%,SUPP,SUPP,SUPP
2024285,100053,176,161,9,5,156,34,SUPP,113,SUPP,SUPP,SUPP,91%,5%,3%,89%,19%,SUPP,64%,SUPP,SUPP,SUPP
2024611,100054,112,110,SUPP,5,105,29,SUPP,71,SUPP,SUPP,SUPP,98%,SUPP,4%,94%,26%,SUPP,63%,SUPP,SUPP,SUPP
2024652,100055,104,101,SUPP,3,98,36,6,56,0,3,0,97%,SUPP,3%,94%,35%,6%,54%,0%,3%,0%
2024688,100056,117,102,SUPP,SUPP,SUPP,11,SUPP,87,SUPP,11,4,87%,SUPP,SUPP,SUPP,9%,SUPP,74%,SUPP,9%,3%
2025401,100059,170,161,3,3,158,16,13,125,4,SUPP,SUPP,95%,2%,2%,93%,9%,8%,74%,2%,SUPP,SUPP
2027137,100092,20,5,SUPP,SUPP,SUPP,SUPP,0,0,0,SUPP,SUPP,25%,SUPP,SUPP,SUPP,SUPP,0%,0%,0%,SUPP,SUPP
2027205,100096,19,19,0,0,19,13,SUPP,SUPP,5,0,0,100%,0%,0%,100%,68%,SUPP,SUPP,26%,0%,0%
LA,202,1410,1280,30,30,1250,265,55,910,20,110,15,91%,2%,2%,89%,19%,4%,64%,1%,8%,1%
2034000,138449,153,140,16,8,132,43,SUPP,93,SUPP,SUPP,SUPP,92%,10%,5%,86%,28%,SUPP,61%,SUPP,SUPP,SUPP
2034077,100182,170,165,7,3,162,47,29,90,0,5,0,97%,4%,2%,95%,28%,17%,53%,0%,3%,0%
2034130,100183,233,224,9,3,221,57,SUPP,153,SUPP,6,3,96%,4%,1%,95%,24%,SUPP,66%,SUPP,3%,1%
2034243,137473,172,164,3,SUPP,SUPP,45,SUPP,119,SUPP,5,3,95%,2%,SUPP,SUPP,26%,SUPP,69%,SUPP,3%,2%
2034250,141163,222,211,11,5,206,54,8,158,0,SUPP,SUPP,95%,5%,2%,93%,24%,4%,71%,0%,SUPP,SUPP
2034271,141309,235,217,22,9,208,64,15,144,6,18,0,92%,9%,4%,89%,27%,6%,61%,3%,8%,0%
2034294,100190,234,218,9,7,211,72,SUPP,159,SUPP,SUPP,SUPP,93%,4%,3%,90%,31%,SUPP,68%,SUPP,SUPP,SUPP
2034508,100192,206,191,17,8,183,62,SUPP,118,SUPP,SUPP,SUPP,93%,8%,4%,89%,30%,SUPP,57%,SUPP,SUPP,SUPP
2034682,100193,111,110,SUPP,SUPP,SUPP,7,36,62,SUPP,SUPP,SUPP,99%,SUPP,SUPP,SUPP,6%,32%,56%,SUPP,SUPP,SUPP
2034716,141716,121,117,SUPP,3,114,SUPP,23,82,SUPP,4,0,97%,SUPP,2%,94%,SUPP,19%,68%,SUPP,3%,0%
2036905,105135,157,148,6,3,145,35,77,40,0,SUPP,SUPP,94%,4%,2%,92%,22%,49%,25%,0%,SUPP,SUPP
2037118,100204,7,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2037199,138547,31,30,0,SUPP,SUPP,SUPP,0,SUPP,27,SUPP,SUPP,97%,0%,SUPP,SUPP,SUPP,0%,SUPP,87%,SUPP,SUPP
LA,203,2145,2025,105,50,1970,520,255,1270,45,105,20,94%,5%,2%,92%,24%,12%,59%,2%,5%,1%
2044000,138143,19,19,0,0,19,3,0,18,0,0,0,100%,0%,0%,100%,16%,0%,95%,0%,0%,0%
2044283,100277,100,92,SUPP,SUPP,SUPP,17,SUPP,58,SUPP,5,3,92%,SUPP,SUPP,SUPP,17%,SUPP,58%,SUPP,5%,3%
2044302,137442,166,157,SUPP,SUPP,SUPP,25,SUPP,107,SUPP,5,4,95%,SUPP,SUPP,SUPP,15%,SUPP,64%,SUPP,3%,2%
2044310,100279,239,224,SUPP,SUPP,SUPP,75,SUPP,140,0,15,0,94%,SUPP,SUPP,SUPP,31%,SUPP,59%,0%,6%,0%
2044318,133599,56,43,0,SUPP,SUPP,40,0,SUPP,0,SUPP,SUPP,77%,0%,SUPP,SUPP,71%,0%,SUPP,0%,SUPP,SUPP
2044641,100282,116,115,SUPP,SUPP,SUPP,34,SUPP,60,0,SUPP,SUPP,99%,SUPP,SUPP,SUPP,29%,SUPP,52%,0%,SUPP,SUPP
2044697,100284,126,111,3,SUPP,SUPP,47,SUPP,46,SUPP,9,6,88%,2%,SUPP,SUPP,37%,SUPP,37%,SUPP,7%,5%
2044714,100285,164,147,5,SUPP,SUPP,51,SUPP,74,0,11,6,90%,3%,SUPP,SUPP,31%,SUPP,45%,0%,7%,4%
2046905,134693,202,194,8,3,191,45,SUPP,132,SUPP,5,3,96%,4%,1%,95%,22%,SUPP,65%,SUPP,2%,1%
2046906,131062,171,159,3,SUPP,SUPP,34,38,82,SUPP,SUPP,SUPP,93%,2%,SUPP,SUPP,20%,22%,48%,SUPP,SUPP,SUPP
2046907,131609,174,155,7,5,150,39,SUPP,96,SUPP,14,5,89%,4%,3%,86%,22%,SUPP,55%,SUPP,8%,3%
2046908,135835,174,166,3,SUPP,SUPP,49,SUPP,94,0,SUPP,SUPP,95%,2%,SUPP,SUPP,28%,SUPP,54%,0%,SUPP,SUPP
2047097,100307,17,16,SUPP,SUPP,SUPP,3,SUPP,SUPP,11,SUPP,SUPP,94%,SUPP,SUPP,SUPP,18%,SUPP,SUPP,65%,SUPP,SUPP
2047161,100311,21,18,0,SUPP,SUPP,13,0,SUPP,SUPP,3,0,86%,0%,SUPP,SUPP,62%,0%,SUPP,SUPP,14%,0%
2047171,100312,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
LA,204,1820,1680,40,20,1660,515,205,920,25,95,45,92%,2%,1%,91%,28%,11%,51%,1%,5%,2%
2054106,139364,82,64,0,SUPP,SUPP,21,SUPP,40,0,15,3,78%,0%,SUPP,SUPP,26%,SUPP,49%,0%,18%,4%
2054314,100359,162,146,SUPP,SUPP,SUPP,51,8,83,SUPP,13,3,90%,SUPP,SUPP,SUPP,31%,5%,51%,SUPP,8%,2%
