ALPHAIND,LEA,ESTAB,URN,SCHNAME,SCHNAME_AC,NFTYPE,TABKS2,PTPRIORLO,PTPRIORAV,PTPRIORHI,ATT8SCR,ATT8SCRENG,ATT8SCRMAT,ATT8SCREBAC,ATT8SCROPENG,PTL2BASICS_LL_PTQ_EE,PTL2BASICS_3YR_PTQ_EE,ATT8SCR_LO,ATT8SCR_AV,ATT8SCR_HI,ATT8SCR_15,PTEBACC_15_PTQ_EE,PTAC5EM_PTQ_EE
11828,201,6007,100003,City of London School, ,IND,0,NP,NP,NP,42.1,7.3,0,22.2,10.4,0%,0%,NP,NP,NP,NA,0%,0%
11830,201,6005,100001,City of London School for Girls, ,IND,0,NP,NP,NP,32.2,0,0.2,16.9,13,0%,0%,NP,NP,NP,NA,0%,0%
368,202,4285,100053,Acland Burghley School, ,CY,0,13%,48%,39%,50.1,11,9.9,14.2,14.5,60%,59%,26,46.8,63.1,NA,37%,53%
9318,202,4611,100054,The Camden School for Girls, ,VA,0,12%,39%,49%,60.1,13.2,11.7,17.5,16.8,78%,78%,34.8,52.6,71.7,NA,53%,77%
10054,202,6000,137333,CATS College London, ,IND,0,NP,NP,NP,3.4,0,0,0.6,2.7,0%,0%,NP,NP,NP,NA,SUPP,0%
18470,202,6387,100084,Fine Arts College, ,IND,0,NP,NP,NP,49.4,12.8,9.2,8.8,18.6,58%,63%,NP,NP,NP,NA,0%,42%
22308,202,4275,100052,Hampstead School, ,CY,0,26%,49%,25%,50,10.5,9.7,14.4,13.7,59%,57%,33.4,50.6,63.2,NA,25%,52%
23176,202,4104,100049,Haverstock School, ,CY,0,20%,61%,19%,47,9.9,9.6,14,13.3,57%,54%,28,47.9,63,NA,11%,47%
29346,202,5401,100059,La Sainte Union Catholic Secondary School, ,VA,0,9%,54%,36%,57.6,12.2,10.5,15.8,13.2,77%,79%,34.5,55.2,67,NA,42%,74%
32910,202,4652,100055,Maria Fidelis Roman Catholic Convent School FCJ, ,VA,0,18%,61%,21%,50.1,11.4,9.7,13.3,15.8,65%,59%,34,52,59.3,NA,20%,59%
36756,202,6269,100074,North Bridge House Senior School, ,IND,0,NP,NP,NP,62.2,12.8,13.2,18.5,17.7,97%,90%,NP,NP,NP,NA,69%,92%
39932,202,4166,100050,Parliament Hill School, ,CY,0,11%,49%,40%,55.6,12,10.3,16.2,15.9,67%,67%,34.3,51.8,66.3,NA,41%,61%
42930,202,4196,100051,Regent High School, ,CY,0,25%,62%,13%,43.8,9.7,8.8,11.8,10.4,53%,49%,32.6,46,57.5,NA,11%,46%
48846,202,6014,100062,St Margaret's School, ,IND,0,NP,NP,NP,69.6,14.8,13.2,21.7,19.9,100%,92%,NP,NP,NP,NA,88%,100%
54250,202,6307,100076,South Hampstead High School, ,IND,0,NP,NP,NP,54.5,7.5,5,22,9.1,33%,10%,NP,NP,NP,NA,0%,0%
58806,202,4000,137181,The UCL Academy, ,AC,0, , , , , , , , , , , , , ,NA,NA, 
58910,202,6018,100065,University College School, ,IND,0,NP,NP,NP,36.9,0,0,21.2,13.8,0%,0%,NP,NP,NP,NA,0%,0%
62228,202,4688,100056,William Ellis School, ,VA,0,11%,48%,41%,50.6,10.5,10.2,14.8,13,67%,65%,31.8,44.3,61.3,49,34%,56%
4654,203,6376,134827,Bellerbys College London, ,IND,0,NP,NP,NP,3.3,0,2.4,0,0.9,0%,0%,NP,NP,NP,NA,0%,0%
5812,203,6295,100756,Blackheath High School, ,IND,0,NP,NP,NP,58,7.2,12.3,20.1,18.5,93%,33%,NP,NP,NP,NA,0%,0%
12488,203,6293,100202,Colfes Junior School, ,IND,0,NP,NP,NP,49.1,6.3,3.4,20.5,17.9,24%,37%,NP,NP,NP,NA,0%,0%
13068,203,4243,137473,Corelli College, ,ACC,0,22%,57%,21%,44.7,9.8,9,11.3,12.4,51%,53%,25.3,44.9,60.5,NA,8%,44%
17178,203,4077,100182,Eltham Hill School, ,CY,0,10%,63%,27%,51.8,11.6,9.6,13.4,14.5,59%,50%,40.3,50.6,61.7,NA,26%,55%
19540,203,6002,140226,Full Circle Education, ,IND,0,NP,NP,NP,7.8,1.6,0.8,1.2,2.2,8%,3%,NP,NP,NP,NA,0%,8%
21546,203,4001,138245,The Greenwich Free School, ,F,0, , , , , , , , , , , , , ,NA,NA, 
22694,203,4000,138449,Harris Academy Greenwich, ,AC,0,22%,55%,22%,52.7,10.5,10.1,15.5,12.7,58%,65%,43.3,50.3,64.9,NA,28%,54%
26904,203,4003,142608,International Academy of Greenwich, ,F,0, , , , , , , , , , , , , , , , 
27506,203,4508,100192,The John Roan School, ,VC,0,16%,55%,28%,43.2,9.4,7.5,12.9,11.9,31%,43%,25.1,41.3,58.3,NA,28%,29%
40924,203,4130,100183,Plumstead Manor School, ,CY,0,18%,56%,26%,48.9,10.3,9.6,12.3,10.6,59%,56%,26.6,49.8,64.3,NA,24%,56%
41712,203,6004,141315,Pulse and Water College, ,IND,0,NP,NP,NP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%,NP,NP,NP,NA,SUPP,SUPP
43300,203,6300,134402,Right Choice Independent Special School, ,IND,0,NP,NP,NP,0.3,0,0,0.3,0,0%,0%,NP,NP,NP,NA,0%,0%
43536,203,6169,100200,Riverston School, ,IND,0,NP,NP,NP,24,5.7,5.4,5.5,4.7,10%,17%,NP,NP,NP,NA,0%,0%
49128,203,3526,100171,Saint Mary Magdalene Church of England All Through School, ,VA,1, , , , , , , , , , , , , ,NA,NA, 
50572,203,6905,105135,St Paul's Academy, ,AC,0,11%,70%,19%,50.1,11,10.5,12.3,12.5,73%,71%,34.5,49.6,63.1,NA,29%,62%
51562,203,4716,141716,St Thomas More Catholic Comprehensive School, ,ACC,0,13%,53%,34%,60.6,12.2,10.6,18.5,16.9,73%,80%,42.8,58.5,69.9,NA,33%,71%
51702,203,4682,100193,St Ursula's Convent School, ,VA,0,6%,53%,41%,59.3,12,11.5,17.5,18.2,85%,81%,39.4,55.3,66.7,NA,53%,64%
52414,203,6377,132777,Schoolhouse Education, ,IND,0,NP,NP,NP,6.5,2.7,2.7,0,1,0%,5%,NP,NP,NP,NA,0%,0%
55428,203,4271,141309,Stationers Crown Woods Academy, ,ACC,0,11%,58%,31%,50.5,11,10.1,14.2,14.2,70%,67%,34,47.7,62.9,NA,28%,61%
56046,203,6041,136100,StreetVibes Media Academy, ,IND,0,NP,NP,NP,3.4,0.7,2.3,0,0,0%,0%,NP,NP,NP,NA,NA,0%
57346,203,4294,100190,Thomas Tallis School, ,CY,0,18%,52%,30%,49.9,10.4,9.1,13.3,12.5,59%,54%,31.7,48.9,62.4,NA,22%,58%
58930,203,4002,139786,Royal Greenwich Trust School Academy, ,F,0,16%,63%,22%,50.7,10,10.9,12,4.1,61%,47%,40.4,48.3,57.6,NA,7%,58%
63718,203,4250,141163,Woolwich Polytechnic School, ,ACC,0,23%,52%,25%,52.5,11.5,10.7,15.3,13.7,73%,73%,38.4,52.9,66.1,NA,24%,69%
4550,204,6399,102171,Beis Chinuch Lebonos Girls School, ,IND,0,NP,NP,NP,46.7,9.7,12.9,19.3,4.8,61%,53%,NP,NP,NP,NA,0%,61%
4558,204,6337,100295,Beis Malka Girls' School, ,IND,0,NP,NP,NP,46,8.8,12.9,17.6,6.7,54%,58%,NP,NP,NP,NA,0%,54%
4562,204,6296,100293,Beis Rochel d'Satmar Girls' School, ,IND,0,NP,NP,NP,32.9,5.4,12.4,12.2,2.9,83%,23%,NP,NP,NP,NA,0%,0%
4572,204,6400,131342,Beis Trana Girls' School, ,IND,0,NP,NP,NP,24.5,4.9,13.1,6.5,0,78%,30%,NP,NP,NP,NA,0%,0%
6626,204,6010,141516,The Boxing Academy, ,IND,0,NP,NP,NP,9,2,3.2,0.3,3.5,0%,0%,NP,NP,NP,NA,NA,0%
7192,204,6907,131609,The Bridge Academy, ,AC,0,20%,51%,29%,51.8,10.9,10,14,12.9,67%,57%,34.2,50.8,66.6,NA,27%,62%
9552,204,4714,100285,Cardinal Pole Roman Catholic School, ,VA,0,18%,58%,23%,48.9,9.8,10.1,12.8,12.3,59%,58%,34.7,48.1,62.1,46.9,18%,51%
11788,204,6908,135835,"The City Academy, Hackney", ,AC,0,15%,66%,19%,59.1,11.7,11,16.6,11.4,82%,79%,41.9,59.5,72.6,NA,49%,77%
11896,204,4302,137442,Clapton Girls' Academy, ,ACC,0,16%,53%,31%,53.2,11.3,9.9,15.2,15,73%,71%,35.1,52.7,65.3,NA,32%,71%
21936,204,6011,141737,Hackney City Farm, ,IND,0,NP,NP,NP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NP,NP,NP,NA,NA,SUPP
21942,204,4002,139595,Hackney New School, ,F,0, , , , , , , , , , , , , ,NA,NA, 
22012,204,4283,100277,Haggerston School, ,CY,0,15%,60%,25%,52.6,11,10.6,14.7,15.1,69%,62%,39.9,52.4,67.2,48.2,16%,64%
31894,204,4000,138143,Lubavitch House School (Senior Girls), ,VA,0,0%,37%,63%,56,10.4,10.9,19.4,15.3,73%,72%,NE,38.7,68.5,NA,SUPP,68%
35166,204,6905,134693,Mossbourne Community Academy, ,AC,0,14%,55%,32%,59.5,12.1,12.1,17.5,16.7,88%,87%,35.8,58.5,71.5,58.3,55%,85%
35172,204,4003,140210,Mossbourne Victoria Park Academy, ,AC,0, , , , , , , , , , , , , ,NA,NA, 
39126,204,4641,100282,Our Lady's Convent Roman Catholic High School, ,VA,0,21%,56%,23%,53.6,11.3,10.1,16,15.2,67%,63%,37.1,54.5,67.6,52.5,40%,63%
39504,204,6389,100301,Paragon Christian Academy, ,IND,0,NP,NP,NP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NP,NP,NP,NA,NA,SUPP
40488,204,6906,131062,The Petchey Academy, ,AC,0,20%,54%,26%,51.3,10.9,10.2,14.5,15,69%,62%,30.8,52.8,66.5,NA,27%,60%
53878,204,6909,136137,Skinners' Academy, ,AC,0,24%,59%,17%,50.5,10.7,10.6,14.4,13.4,70%,63%,34.7,53.3,64.9,NA,25%,63%
55746,204,4310,100279,Stoke Newington School and Sixth Form, ,CY,0,14%,52%,34%,54.4,11.4,10.7,15.4,16.7,72%,65%,32.9,52.5,67.3,53.5,37%,67%
56936,204,6407,132736,"Tawhid Boys School, Tawhid Educational Trust", ,IND,0,NP,NP,NP,53.6,10.9,11.5,15.6,15.6,76%,75%,NP,NP,NP,NA,47%,71%
56944,204,6388,100300,Tayyibah Girls' School, ,IND,0,NP,NP,NP,62.2,13.2,12.8,18.6,17.6,85%,96%,NP,NP,NP,NA,50%,77%
59108,204,4697,100284,The Urswick School - A Church of England Secondary School, ,VA,0,23%,65%,12%,44.2,9.8,8.4,11.4,13.4,46%,44%,31.4,46.4,62.6,NA,30%,39%
64258,204,6072,100287,Yesodey Hatorah School, ,IND,0,NP,NP,NP,16.6,0,9.4,7.2,0,0%,0%,NP,NP,NP,NA,SUPP,0%
64260,204,4318,133599,Yesodey Hatorah Senior Girls School, ,VA,0,7%,49%,44%,59.4,11.7,12.9,18.8,15.9,86%,74%,SUPP,54.4,68.9,NA,SUPP,71%
