id,outcode,latitude,longitude
1,AB10,57.131086,-2.122482
2,AB11,57.13121,-2.082261
3,AB12,57.098381,-2.172400
4,AB13,57.108,-2.237
5,AB14,57.101,-2.27
6,AB15,57.143396,-2.199525
7,AB16,57.161,-2.156
8,AB21,57.245343,-2.225550
9,AB22,57.187186,-2.131376
10,AB23,57.230843,-2.092813
11,AB24,57.16281,-2.112094
12,AB25,57.154591,-2.118918
13,AB30,56.851566,-2.469034
14,AB31,57.066594,-2.533141
15,AB32,57.151623,-2.372573
16,AB33,57.225,-2.741
17,AB34,57.094498,-2.815032
18,AB35,57.038,-3.149
19,AB36,57.197,-3.067
20,AB37,57.331,-3.351
21,AB38,57.486,-3.225
22,AB39,56.978,-2.217
23,AB41,57.376,-2.105
24,AB42,57.501,-1.888
25,AB43,57.637345,-2.066319
26,AB44,57.669,-2.492
27,AB45,57.651,-2.566
28,AB51,57.289,-2.405
29,AB52,57.344,-2.607
30,AB53,57.530753,-2.392198
31,AB54,57.454,-2.763
32,AB55,57.491337,-2.997465
33,AB56,57.666412,-2.906093
34,AL1,51.748873,-0.328511
35,AL10,51.764893,-0.240376
36,AL2,51.718527,-0.329894
37,AL3,51.79351,-0.400949
38,AL4,51.783294,-0.285137
39,AL5,51.820047,-0.366133
40,AL6,51.831016,-0.208101
41,AL7,51.797992,-0.183996
42,AL8,51.803892,-0.222712
43,AL9,51.746546,-0.190280
44,B1,52.4792,-1.910378
45,B10,52.468728,-1.853245
46,B11,52.458409,-1.852449
47,B12,52.463585,-1.900077
48,B13,52.43701,-1.882258
49,B14,52.420689,-1.885614
50,B15,52.462825,-1.927011
51,B16,52.479854,-1.935623
52,B17,52.464947,-1.967478
53,B18,52.490946,-1.927561
54,B19,52.49658,-1.908471
55,B2,52.479313,-1.899401
56,B20,52.516158,-1.919277
57,B21,52.509929,-1.941478
58,B23,52.526621,-1.855603
59,B24,52.518251,-1.825529
60,B25,52.464577,-1.837034
61,B26,52.462616,-1.781229
62,B27,52.443168,-1.821618
63,B28,52.426758,-1.839760
64,B29,52.43594,-1.944866
65,B3,52.480608,-1.903612
66,B30,52.421012,-1.925162
67,B31,52.410197,-1.974416
68,B32,52.437666,-2.001487
69,B33,52.477126,-1.788998
70,B34,52.494359,-1.785307
71,B35,52.51832,-1.788507
72,B36,52.500333,-1.784110
73,B37,52.47749,-1.753672
74,B38,52.396208,-1.926215
75,B4,52.483372,-1.890745
76,B40,52.462521,-1.727142
77,B42,52.531917,-1.910954
78,B43,52.548295,-1.924235
79,B44,52.546141,-1.884455
80,B45,52.383095,-2.002193
81,B46,52.502405,-1.680957
82,B47,52.392856,-1.878858
83,B48,52.359024,-1.940266
84,B49,52.214357,-1.866247
85,B5,52.465858,-1.903668
86,B50,52.175362,-1.844343
87,B6,52.510131,-1.882424
88,B60,52.317093,-2.046170
89,B61,52.348538,-2.087815
90,B62,52.439416,-2.047562
91,B63,52.450894,-2.071439
92,B64,52.474398,-2.069161
93,B65,52.48484,-2.043520
94,B66,52.49093,-1.968468
95,B67,52.484635,-1.980759
96,B68,52.482799,-2.000643
97,B69,52.501095,-2.030596
98,BH21,50.85094,-1.974827
99,BH22,50.807066,-1.887595
100,BH23,50.765128,-1.768778
101,BH24,50.852293,-1.760880
102,BH25,50.765682,-1.657841
103,BH3,50.734458,-1.881671
104,BH31,50.875015,-1.872810
105,BH4,50.721093,-1.897089
106,BH5,50.72601,-1.840529
107,BH6,50.730295,-1.802762
108,BH7,50.738452,-1.830801
109,BH8,50.745078,-1.846279
110,BH9,50.752624,-1.886602
111,BL0,53.636852,-2.308060
112,BL1,53.597754,-2.453484
113,BL11,53.576178,-2.428677
114,BL2,53.593693,-2.391324
115,BL3,53.568916,-2.422751
116,BL4,53.547,-2.4
117,BL5,53.55759,-2.502241
118,BL6,53.592,-2.539
119,BL7,53.63,-2.421
120,BL78,53.571716,-2.416294
121,BL8,53.605,-2.327
122,BL9,53.5977,-2.279207
123,BN1,50.850784,-0.142862
124,BN10,50.797529,0.001428
125,BN11,50.813828,-0.373322
126,BN12,50.818779,-0.430321
127,BN13,50.848707,-0.425484
128,BN14,50.847599,-0.385276
129,BN15,50.838028,-0.322340
130,BN16,50.834167,-0.496557
131,BN17,50.818908,-0.551567
132,BN18,50.859865,-0.582145
133,BN2,50.826109,-0.079503
134,BN20,50.775889,0.233311
135,BN21,50.773,0.277
136,BN22,50.788,0.284
137,BN23,50.798425,0.309738
138,BN24,50.818566,0.338254
139,BN25,50.781231,0.121570
140,BN26,50.82473,0.197928
141,BN27,50.877024,0.264600
142,BN3,50.840303,-0.179222
143,BN41,50.84153,-0.219408
144,BN42,50.838239,-0.225923
145,BN43,50.853764,-0.269797
146,BN44,50.904437,-0.321909
147,BN45,50.868275,-0.179501
148,BN5,50.930604,-0.261921
149,BN50,50.823442,-0.140396
150,BN51,50.804823,-0.058672
151,BN52,50.829256,-0.168416
152,BN6,50.934068,-0.149694
153,BN7,50.880791,-0.024434
154,BN8,50.908128,0.080611
155,BN88,50.831246,-0.140438
156,BN9,50.800774,0.049360
157,BN99,50.820239,-0.379944
158,BR1,51.412584,0.024843
159,BR2,51.370626,0.029214
160,BR3,51.402093,-0.029233
161,BR4,51.375861,-0.004384
162,BR5,51.391538,0.100783
163,BR6,51.354868,0.101492
164,BR7,51.412562,0.058473
165,BR8,51.394097,0.177071
166,BS1,51.454813,-2.598741
167,BS10,51.516834,-2.629762
168,BS11,51.497,-2.675
169,BS13,51.412,-2.611
170,BS14,51.413,-2.561
171,BS15,51.452788,-2.504724
172,BS16,51.485,-2.51
173,BS2,51.457911,-2.579273
174,BS20,51.479,-2.752
175,BS21,51.42869,-2.827981
176,BS22,51.36,-2.929
177,BS23,51.343,-2.97
178,BS24,51.326837,-2.908488
179,BS25,51.318027,-2.829428
180,BS26,51.279,-2.855
181,BS27,51.271,-2.77
182,BS28,51.225,-2.814
183,BS29,51.334672,-2.866346
184,BS3,51.436461,-2.606328
185,BS30,51.445,-2.472
186,BS31,51.408,-2.491
187,BS32,51.555759,-2.571819
188,BS34,51.521284,-2.567585
189,BS35,51.596,-2.549
190,BS36,51.526,-2.486
191,BS37,51.542237,-2.414046
192,BS39,51.340495,-2.544411
193,BS4,51.435995,-2.565165
194,BS40,51.339029,-2.694831
195,BS41,51.422,-2.651
196,BS48,51.420443,-2.732437
197,BS49,51.37468,-2.809159
198,BS5,51.463825,-2.549900
199,BS6,51.473759,-2.597623
200,BS7,51.486629,-2.580236
201,BS8,51.45552,-2.655662
202,BS80,51.521874,-2.572469
203,BS9,51.485602,-2.621438
204,BS98,51.459068,-2.581532
205,BS99,51.458,-2.573
