movie_id,director_name
1,John Lasseter
2,Joe Johnston
3,Donald Petrie
4,Forest Whitaker
5,Charles Shyer
6,Michael Mann
7,Billy Wilder
8,Peter Hewitt
9,Peter Hyams
10,Martin Campbell
11,Rob Reiner
12,Mel Brooks
13,Simon Wells
14,Oliver Stone
15,Renny Harlin
16,Martin Scorsese
17,Ang Lee
18,Alexandre Rockwell
19,Steve Oedekerk
20,Joseph Ruben
21,Barry Sonnenfeld
22,Jon Amiel
23,James McTeigue
24,Victor Salva
25,Mike Figgis
26,Oliver Parker
27,Lesli Linka Glatter
28,Roger Michell
29,Jean-Pierre Jeunet
30,Yimou Zhang
31,John N. Smith
32,Siddharth Randeria
33,Jean-Jacques Annaud
34,Chris Noonan
35,Christopher Hampton
36,Tim Robbins
37,Stephan Low
38,Andy Tennant
39,Andras Solyom
40,Darrell Roodt
41,Richard Loncraine
42,Albert Hughes
43,Michael Hoffman
44,Paul W.S. Anderson
45,Len Wiseman
46,Jocelyn Moorhouse
47,Akira Kurosawa
48,Mike Gabriel
49,Patricia Rozema
50,Bryan Singer
52,Woody Allen
53,Gianni Amelio
54,Holly Goldberg Sloan
55,Garry Marshall
56,Robert Tinnell
57,Jodie Foster
58,Michael Radford
59,Robert Lepage
60,Frank Oz
61,Sara Botsford
62,Stephen Herek
63,Paris Barclay
64,Bill Bennett
65,Jason Bloom
66,Farhad Mann
67,James Foley
68,Josiane Balasko
69,Marek Koterski
70,Robert Rodriguez
71,Andrew Sipes
72,Jesse Dylan
73,Bille August
74,Michael Goldenberg
75,Steve Miner
76,Christian Duguay
77,Susanne Ofteringer
78,Sean Penn
79,Brian Gibson
80,Jafar Panahi
81,Gary Fleder
82,Marleen Gorris
83,Tim Reid
84,Henry Jaglom
85,Philip Haas
86,Director Ridley Scott
87,Ken Kwapis
88,Jonathan King
89,John Badham
90,John Duigan
92,Stephen Frears
93,Wes Craven
94,Ted Demme
95,John Woo
96,Kenneth Branagh
97,Mathieu Kassovitz
98,Henry Jaglom
99,Nick Broomfield
100,Harold Becker
101,Wes Anderson
102,Nick Castle
103,John Dahl
104,Dennis Dugan
105,Clint Eastwood
106,Doris Doerrie
107,Brian Henson
110,Mel Gibson
111,Martin Scorsese
112,Stanley Tong
113,Barbet Schroeder
114,Mort Ransen
115,Etienne Chatiliez
116,John Blair
117,Benjamin Ross
118,Eric Schaeffer
119,Andrew Davis
120,Charles T. Kanganis
121,John N. Smith
122,Reginald Hudlin
123,Kar Wai Wong
124,Giuseppe Tornatore
125,David O. Russell
126,Peter MacDonald
128,Michel Negroponte
129,Bryan Gordon
130,Alan Parker
131,Michael Lindsay-Hogg
132,Woody Allen
134,Craig Baldwin
135,David S. Ward
136,Mark Rappaport
137,Barry Levinson
139,John Woo
140,Jon Avnet
141,Mike Nichols
143,Jakov Sedlar
144,Edward Burns
145,Michael Bay
146,Christopher Cain
147,Scott Kalvert
148,Mike Newell
149,Michael Traeger
150,Ron Howard
151,Michael Caton-Jones
152,Michael Caton-Jones
153,Joel Schumacher
154,Luis Bunuel
155,John Boorman
156,Paul Auster
157,Michael Moore
158,Brad Silberling
159,Spike Lee
160,Frank Marshall
161,Tony Scott
162,Terry Zwigoff
163,Robert Rodriguez
164,Carl Franklin
165,John McTiernan
166,Gregg Araki
167,Christopher Menaul
168,Jerry Zucker
169,Dwight H. Little
170,Iain Softley
171,Christopher Ashley
172,Robert Longo
173,Danny Cannon
174,John Fortenberry
175,Larry Clark
176,Tom DiCillo
177,Clive Barker
178,Denys Arcand
179,Jill Goldman
180,Kevin Smith
181,Bryan Spicer
182,David Anspaugh
183,Anthony Waller
184,Rodney Gibbons
185,Irwin Winkler
186,Chris Columbus
187,Daisy von Scherler Mayer
188,Gregory Widen
189,Max Ophuls
190,Sidney Lumet
191,Roland Joffe
193,Paul Verhoeven
194,Wayne Wang
195,Lasse Hallstroem
196,Roger Donaldson
197,James Keach
198,Kathryn Bigelow
199,Jacques Demy
200,Wesley Strick
201,Martha Coolidge
202,Agnieszka Holland
203,Beeban Kidron
204,Geoff Murphy
205,Diane Keaton
206,Douglas Keeve
207,Alfonso Arau
208,Kevin Reynolds
209,Desmond Nakano
210,Walter Hill
211,Anthony Asquith
212,Greg Beeman
213,Nikita Mikhalkov
214,Milcho Manchevski
215,Richard Linklater
216,Tamra Davis
217,David Ross
218,Herbert Ross
219,Peter Horton
220,Stuart Gordon
222,Pat O'Connor
223,Kevin Smith
224,Jeremy Leven
225,Barry Levinson
226,Francis Ford Coppola
227,John Badham
228,Jack Baran
229,Roman Polanski
230,Taylor Hackford
231,Peter Farrelly
232,Ang Lee
233,Atom Egoyan
234,Garry Marshall
235,Tim Burton
236,Lawrence Kasdan
237,Billy Crystal
238,Phillip Borsos
239,Kevin Lima
240,Brett Leonard
241,Carlo Carlei
242,Gerard Corbiau
243,Mike Hodges
244,Art Clokey
245,Charles Burnett
246,Steve James
247,Peter Jackson
248,Randall Miller
249,Bernard Rose
250,Steven Brill
251,William Friedkin
252,Fred Schepisi
253,Neil Jordan
254,James Ivory
255,James Melkonian
256,Ivan Reitman
257,Arne Glimcher
258,Michael Gottlieb
259,Barbet Schroeder
260,George Lucas
261,Gillian Armstrong
262,Alfonso Cuaron
263,Ken Loach
264,Claude Chabrol
265,Alfonso Arau
266,Edward Zwick
267,Nick Castle
268,James Gray
269,Allison Anders
270,Glenn Gordon Caron
271,Stephen Gyllenhaal
272,Nicholas Hytner
273,James Whale
274,Stephen Herek
275,Nora Ephron
276,Richard Benjamin
277,George Seaton
278,David Frankel
279,Gregory Nava
280,Marc Rocco
281,Evelyn Purcell
282,Michael Apted
283,Nick Gomez
284,Toru Murakawa
285,Vadim Jean
286,Albert Pyun
287,Alan Jacobs
288,Oliver Stone
289,Norman Jewison
290,Lee Tamahori
291,Anne Goursaud
292,Wolfgang Petersen
293,Luc Besson
294,Mira Nair
295,Joshua Brand
296,Quentin Tarantino
297,Harald Zwart
298,Ang Lee
299,Antonia Bird
300,Robert Redford
301,Kayo Hatta
302,Patrice Chereau
303,Sam Raimi
304,Peter Yates
305,Robert Altman
306,Krzysztof Kieslowski
307,Krzysztof Kieslowski
308,Krzysztof Kieslowski
309,Ping He
310,Fred Gerber
312,Harold Ramis
313,Richard Rich
314,John Sayles
315,Luis Llosa
316,Roland Emmerich
317,Jeannot Szwarc
318,Frank Darabont
319,Danny Boyle
320,Scott McGehee
321,Tomas Gutierrez Alea
322,George Huang
324,Geoff Burton
325,Kelly Makin
326,Yimou Zhang
327,Rachel Talalay
328,Ernest R. Dickerson
329,David Carson
330,Rusty Cundieff
331,Brian Gilbert
332,John Carpenter
333,Peter Segal
334,Louis Malle
335,Steven Soderbergh
336,Umberto Lenzi
337,Lasse Hallstroem
338,Brett Leonard
339,Jon Turteltaub
340,David Kim
341,Mina Shum
342,P.J. Hogan
343,Melanie Mayron
344,Tom Shadyac
345,Stephan Elliott
346,Iain Softley
347,Roman Polanski
348,Woody Allen
349,Phillip Noyce
350,Joel Schumacher
351,Jessie Nelson
352,Spike Lee
353,Alex Proyas
354,Ron Shelton
355,Brian Levant
356,Robert Zemeckis
357,Mike Newell
358,John Singleton
359,Darnell Martin
360,Charles Shyer
361,Andrew Bergman
362,Wolfgang Reitherman
363,Ray Muller
364,Rob Minkoff
365,Bernardo Bertolucci
366,Wes Craven
367,Chuck Russell
368,Richard Donner
369,Alan Rudolph
370,Peter Segal
371,Aaron Matthews
