year,country,region,police_force_area,offence_classification,offence_description,detection_type,FPNs
2011,England,South West,Avon and Somerset,816,Speed limit offences,Camera-detected,26949
2011,England,South West,Avon and Somerset,816,Speed limit offences,Non camera-detected,1471
2011,England,South West,Avon and Somerset,818,Neglect of traffic directions,Camera-detected,1127
2011,England,South West,Avon and Somerset,818,Neglect of traffic directions,Non camera-detected,1022
2011,England,East of England,Bedfordshire,816,Speed limit offences,Camera-detected,12416
2011,England,East of England,Bedfordshire,816,Speed limit offences,Non camera-detected,1002
2011,England,East of England,Bedfordshire,818,Neglect of traffic directions,Camera-detected,1580
2011,England,East of England,Bedfordshire,818,Neglect of traffic directions,Non camera-detected,418
2011,England,East of England,Cambridgeshire,816,Speed limit offences,Camera-detected,28197
2011,England,East of England,Cambridgeshire,816,Speed limit offences,Non camera-detected,3306
2011,England,East of England,Cambridgeshire,818,Neglect of traffic directions,Camera-detected,125
2011,England,East of England,Cambridgeshire,818,Neglect of traffic directions,Non camera-detected,732
2011,England,North West,Cheshire,816,Speed limit offences,Camera-detected,34506
2011,England,North West,Cheshire,816,Speed limit offences,Non camera-detected,4281
2011,England,North West,Cheshire,818,Neglect of traffic directions,Camera-detected,4320
2011,England,North West,Cheshire,818,Neglect of traffic directions,Non camera-detected,1855
2011,England,London,City of London,816,Speed limit offences,Camera-detected,6333
2011,England,London,City of London,816,Speed limit offences,Non camera-detected,227
2011,England,London,City of London,818,Neglect of traffic directions,Camera-detected,1084
2011,England,London,City of London,818,Neglect of traffic directions,Non camera-detected,127
2011,England,North East,Cleveland,816,Speed limit offences,Camera-detected,18663
2011,England,North East,Cleveland,816,Speed limit offences,Non camera-detected,2009
2011,England,North East,Cleveland,818,Neglect of traffic directions,Camera-detected,2
2011,England,North East,Cleveland,818,Neglect of traffic directions,Non camera-detected,840
2011,England,North West,Cumbria,816,Speed limit offences,Camera-detected,32471
2011,England,North West,Cumbria,816,Speed limit offences,Non camera-detected,1352
2011,England,North West,Cumbria,818,Neglect of traffic directions,Camera-detected,94
2011,England,North West,Cumbria,818,Neglect of traffic directions,Non camera-detected,556
2011,England,East Midlands,Derbyshire,816,Speed limit offences,Camera-detected,6171
2011,England,East Midlands,Derbyshire,816,Speed limit offences,Non camera-detected,676
2011,England,East Midlands,Derbyshire,818,Neglect of traffic directions,Camera-detected,295
2011,England,East Midlands,Derbyshire,818,Neglect of traffic directions,Non camera-detected,275
2011,England,South West,Devon and Cornwall,816,Speed limit offences,Camera-detected,10557
2011,England,South West,Devon and Cornwall,816,Speed limit offences,Non camera-detected,2560
2011,England,South West,Devon and Cornwall,818,Neglect of traffic directions,Camera-detected,1205
2011,England,South West,Devon and Cornwall,818,Neglect of traffic directions,Non camera-detected,1167
2011,England,South West,Dorset,816,Speed limit offences,Camera-detected,24495
2011,England,South West,Dorset,816,Speed limit offences,Non camera-detected,5940
2011,England,South West,Dorset,818,Neglect of traffic directions,Camera-detected,928
2011,England,South West,Dorset,818,Neglect of traffic directions,Non camera-detected,486
2011,England,North East,Durham,816,Speed limit offences,Camera-detected,6998
2011,England,North East,Durham,816,Speed limit offences,Non camera-detected,1012
2011,England,North East,Durham,818,Neglect of traffic directions,Camera-detected,20
2011,England,North East,Durham,818,Neglect of traffic directions,Non camera-detected,321
2011,Wales,Wales,Dyfed-Powys,816,Speed limit offences,Camera-detected,0
2011,Wales,Wales,Dyfed-Powys,816,Speed limit offences,Non camera-detected,3983
2011,Wales,Wales,Dyfed-Powys,818,Neglect of traffic directions,Camera-detected,23
2011,Wales,Wales,Dyfed-Powys,818,Neglect of traffic directions,Non camera-detected,1006
2011,England,East of England,Essex,816,Speed limit offences,Camera-detected,17116
2011,England,East of England,Essex,816,Speed limit offences,Non camera-detected,7605
2011,England,East of England,Essex,818,Neglect of traffic directions,Camera-detected,2732
2011,England,East of England,Essex,818,Neglect of traffic directions,Non camera-detected,1123
2011,England,South West,Gloucestershire,816,Speed limit offences,Camera-detected,5862
2011,England,South West,Gloucestershire,816,Speed limit offences,Non camera-detected,1367
2011,England,South West,Gloucestershire,818,Neglect of traffic directions,Camera-detected,111
2011,England,South West,Gloucestershire,818,Neglect of traffic directions,Non camera-detected,210
2011,England,North West,Greater Manchester,816,Speed limit offences,Camera-detected,97652
2011,England,North West,Greater Manchester,816,Speed limit offences,Non camera-detected,2190
2011,England,North West,Greater Manchester,818,Neglect of traffic directions,Camera-detected,12625
2011,England,North West,Greater Manchester,818,Neglect of traffic directions,Non camera-detected,2030
2011,Wales,Wales,Gwent,816,Speed limit offences,Camera-detected,0
2011,Wales,Wales,Gwent,816,Speed limit offences,Non camera-detected,756
2011,Wales,Wales,Gwent,818,Neglect of traffic directions,Camera-detected,70
2011,Wales,Wales,Gwent,818,Neglect of traffic directions,Non camera-detected,547
2011,England,South East,Hampshire,816,Speed limit offences,Camera-detected,56798
2011,England,South East,Hampshire,816,Speed limit offences,Non camera-detected,8288
2011,England,South East,Hampshire,818,Neglect of traffic directions,Camera-detected,1359
2011,England,South East,Hampshire,818,Neglect of traffic directions,Non camera-detected,1573
2011,England,East of England,Hertfordshire,816,Speed limit offences,Camera-detected,21496
2011,England,East of England,Hertfordshire,816,Speed limit offences,Non camera-detected,1558
2011,England,East of England,Hertfordshire,818,Neglect of traffic directions,Camera-detected,1941
2011,England,East of England,Hertfordshire,818,Neglect of traffic directions,Non camera-detected,505
2011,England,Yorkshire and the Humber,Humberside,816,Speed limit offences,Camera-detected,38578
2011,England,Yorkshire and the Humber,Humberside,816,Speed limit offences,Non camera-detected,4155
2011,England,Yorkshire and the Humber,Humberside,818,Neglect of traffic directions,Camera-detected,114
2011,England,Yorkshire and the Humber,Humberside,818,Neglect of traffic directions,Non camera-detected,1788
2011,England,South East,Kent,816,Speed limit offences,Camera-detected,16128
2011,England,South East,Kent,816,Speed limit offences,Non camera-detected,5242
2011,England,South East,Kent,818,Neglect of traffic directions,Camera-detected,39
2011,England,South East,Kent,818,Neglect of traffic directions,Non camera-detected,1301
2011,England,North West,Lancashire,816,Speed limit offences,Camera-detected,47087
2011,England,North West,Lancashire,816,Speed limit offences,Non camera-detected,3932
2011,England,North West,Lancashire,818,Neglect of traffic directions,Camera-detected,52
2011,England,North West,Lancashire,818,Neglect of traffic directions,Non camera-detected,2144
2011,England,East Midlands,Leicestershire,816,Speed limit offences,Camera-detected,35877
2011,England,East Midlands,Leicestershire,816,Speed limit offences,Non camera-detected,2154
2011,England,East Midlands,Leicestershire,818,Neglect of traffic directions,Camera-detected,7026
2011,England,East Midlands,Leicestershire,818,Neglect of traffic directions,Non camera-detected,923
2011,England,East Midlands,Lincolnshire,816,Speed limit offences,Camera-detected,14646
2011,England,East Midlands,Lincolnshire,816,Speed limit offences,Non camera-detected,3323
2011,England,East Midlands,Lincolnshire,818,Neglect of traffic directions,Camera-detected,281
2011,England,East Midlands,Lincolnshire,818,Neglect of traffic directions,Non camera-detected,432
2011,England,North West,Merseyside,816,Speed limit offences,Camera-detected,30166
2011,England,North West,Merseyside,816,Speed limit offences,Non camera-detected,10109
2011,England,North West,Merseyside,818,Neglect of traffic directions,Camera-detected,5112
2011,England,North West,Merseyside,818,Neglect of traffic directions,Non camera-detected,3545
2011,England,London,Metropolitan Police,816,Speed limit offences,Camera-detected,48885
2011,England,London,Metropolitan Police,816,Speed limit offences,Non camera-detected,17605
2011,England,London,Metropolitan Police,818,Neglect of traffic directions,Camera-detected,4667
2011,England,London,Metropolitan Police,818,Neglect of traffic directions,Non camera-detected,8569
2011,England,East of England,Norfolk,816,Speed limit offences,Camera-detected,14477
2011,England,East of England,Norfolk,816,Speed limit offences,Non camera-detected,4962
2011,England,East of England,Norfolk,818,Neglect of traffic directions,Camera-detected,166
2011,England,East of England,Norfolk,818,Neglect of traffic directions,Non camera-detected,805
2011,Wales,Wales,North Wales,816,Speed limit offences,Camera-detected,9704
2011,Wales,Wales,North Wales,816,Speed limit offences,Non camera-detected,1952
2011,Wales,Wales,North Wales,818,Neglect of traffic directions,Camera-detected,5
2011,Wales,Wales,North Wales,818,Neglect of traffic directions,Non camera-detected,279
2011,England,Yorkshire and the Humber,North Yorkshire,816,Speed limit offences,Camera-detected,14408
2011,England,Yorkshire and the Humber,North Yorkshire,816,Speed limit offences,Non camera-detected,5115
2011,England,Yorkshire and the Humber,North Yorkshire,818,Neglect of traffic directions,Camera-detected,62
2011,England,Yorkshire and the Humber,North Yorkshire,818,Neglect of traffic directions,Non camera-detected,1002
2011,England,East Midlands,Northamptonshire,816,Speed limit offences,Camera-detected,22919
2011,England,East Midlands,Northamptonshire,816,Speed limit offences,Non camera-detected,1081
2011,England,East Midlands,Northamptonshire,818,Neglect of traffic directions,Camera-detected,191
2011,England,East Midlands,Northamptonshire,818,Neglect of traffic directions,Non camera-detected,551
2011,England,North East,Northumbria,816,Speed limit offences,Camera-detected,49956
