value	dimension	group
10	x	I
8	x	I
13	x	I
9	x	I
11	x	I
14	x	I
6	x	I
4	x	I
12	x	I
7	x	I
5	x	I
8.04	y	I
6.95	y	I
7.58	y	I
8.81	y	I
8.33	y	I
9.96	y	I
7.24	y	I
4.26	y	I
10.84	y	I
4.82	y	I
5.68	y	I
10	x	II
8	x	II
13	x	II
9	x	II
11	x	II
14	x	II
6	x	II
4	x	II
12	x	II
7	x	II
5	x	II
9.14	y	II
8.14	y	II
8.74	y	II
8.77	y	II
9.26	y	II
8.1	y	II
6.13	y	II
3.1	y	II
9.13	y	II
7.26	y	II
4.74	y	II
10	x	III
8	x	III
13	x	III
9	x	III
11	x	III
14	x	III
6	x	III
4	x	III
12	x	III
7	x	III
5	x	III
7.46	y	III
6.77	y	III
12.74	y	III
7.11	y	III
7.81	y	III
8.84	y	III
6.08	y	III
5.39	y	III
8.15	y	III
6.42	y	III
5.73	y	III
8	x	IV
8	x	IV
8	x	IV
8	x	IV
8	x	IV
8	x	IV
8	x	IV
19	x	IV
8	x	IV
8	x	IV
8	x	IV
6.58	y	IV
5.76	y	IV
7.71	y	IV
8.84	y	IV
8.47	y	IV
7.04	y	IV
5.25	y	IV
12.5	y	IV
5.56	y	IV
7.91	y	IV
6.89	y	IV
