Economy,Region,Country,GDP_2010,country,Country code,Pop_2010,Location_trimmed,Location,numeric code,LE_2010
Afghanistan,South Asia,Afghanistan,15936784436,Afghanistan,4,27962.207,Afghanistan, Afghanistan,4,59.82
Albania,Europe & Central Asia,Albania,11858166295,Albania,8,2901.883,Albania,         Albania,8,77.49
Algeria,Middle East & North Africa,Algeria,1.61207E+11,Algeria,12,36036.159,Algeria,         Algeria,12,74.42
American Samoa,East Asia & Pacific,American Samoa,,American Samoa,16,55.636,,,,
Andorra,Europe & Central Asia,Andorra,,Andorra,20,84.419,,,,
Angola,Sub-Saharan Africa,Angola,82470894868,Angola,24,21219.954,Angola,         Angola,24,51.68
Antigua and Barbuda,Latin America & Caribbean,Antigua and Barbuda,1161528616,Antigua and Barbuda,28,87.233,Antigua and Barbuda,         Antigua and Barbuda,28,75.82
Argentina,Latin America & Caribbean,Argentina,3.68736E+11,Argentina,32,41222.875,Argentina,         Argentina,32,76.01
Armenia,Europe & Central Asia,Armenia,9260297329,Armenia,51,2963.496,Armenia,         Armenia,51,74.56
Aruba,Latin America & Caribbean,Aruba,2467703911,Aruba,533,101.597,Aruba,         Aruba,533,75.39
Australia,East Asia & Pacific,Australia,1.14179E+12,Australia,36,22162.863,Australia,         Australia,36,82.1
Austria,Europe & Central Asia,Austria,3.75217E+11,Austria,40,8391.986,Austria,         Austria,40,81.09
Azerbaijan,Europe & Central Asia,Azerbaijan,52905998879,Azerbaijan,31,9099.893,Azerbaijan,         Azerbaijan,31,70.62
"Bahamas, The",Latin America & Caribbean,Bahamas,7888087000,Bahamas,44,360.83,Bahamas,         Bahamas,44,75.15
Bahrain,Middle East & North Africa,Bahrain,25713571421,Bahrain,48,1261.319,Bahrain,         Bahrain,48,76.38
Bangladesh,South Asia,Bangladesh,1.00357E+11,Bangladesh,50,151616.777,Bangladesh,            Bangladesh,50,71.01
Barbados,Latin America & Caribbean,Barbados,4433700000,Barbados,52,279.566,Barbados,         Barbados,52,75.37
Belarus,Europe & Central Asia,Belarus,55220932614,Belarus,112,9492.122,Belarus,         Belarus,112,71.08
Belgium,Europe & Central Asia,Belgium,4.68079E+11,Belgium,56,10929.978,Belgium,         Belgium,56,80.53
Belize,Latin America & Caribbean,Belize,1397900000,Belize,84,321.609,Belize,         Belize,84,69.76
Benin,Sub-Saharan Africa,Benin,6558416322,Benin,204,9509.798,Benin,         Benin,204,59.2
Bermuda,North America,Bermuda,5744414000,Bermuda,60,63.954,,,,
Bhutan,South Asia,Bhutan,1585319109,Bhutan,64,720.246,Bhutan,            Bhutan,64,68.88
Bolivia,Latin America & Caribbean,Bolivia (Plurinational State of),19649724656,Bolivia (Plurinational State of),68,9918.245,Bolivia (Plurinational State of),         Bolivia (Plurinational State of),68,67.72
Bosnia and Herzegovina,Europe & Central Asia,Bosnia and Herzegovina,16775469778,Bosnia and Herzegovina,70,3835.258,Bosnia and Herzegovina,         Bosnia and Herzegovina,70,76.26
Botswana,Sub-Saharan Africa,Botswana,13746712706,Botswana,72,2047.831,Botswana,         Botswana,72,64.12
Brazil,Latin America & Caribbean,Brazil,2.14304E+12,Brazil,76,198614.208,Brazil,         Brazil,76,74.05
Brunei Darussalam,East Asia & Pacific,Brunei Darussalam,12369708859,Brunei Darussalam,96,393.302,Brunei Darussalam,         Brunei Darussalam,96,78.44
Bulgaria,Europe & Central Asia,Bulgaria,47727325909,Bulgaria,100,7407.297,Bulgaria,         Bulgaria,100,74.04
Burkina Faso,Sub-Saharan Africa,Burkina Faso,9209288383,Burkina Faso,854,15632.066,Burkina Faso,         Burkina Faso,854,58.07
Burundi,Sub-Saharan Africa,Burundi,2026864414,Burundi,108,9461.117,Burundi,         Burundi,108,56.07
C?te d'Ivoire,Sub-Saharan Africa,C?te d'Ivoire,22920779598,C?te d'Ivoire,384,20131.707,C?te d'Ivoire,         C?te d'Ivoire,384,50.97
Cabo Verde,Sub-Saharan Africa,Cabo Verde,1664310632,Cabo Verde,132,490.379,Cabo Verde,         Cabo Verde,132,72.97
Cambodia,East Asia & Pacific,Cambodia,11242266334,Cambodia,116,14363.586,Cambodia,         Cambodia,116,67.61
Cameroon,Sub-Saharan Africa,Cameroon,22493301699,Cameroon,120,20590.666,Cameroon,         Cameroon,120,54.87
Canada,North America,Canada,1.57704E+12,Canada,124,34126.173,Canada,      Canada,124,81.78
Cayman Islands,Latin America & Caribbean,Cayman Islands,,Cayman Islands,136,55.509,,,,
Central African Republic,Sub-Saharan Africa,Central African Republic,1986014759,Central African Republic,140,4444.973,Central African Republic,         Central African Republic,140,49.53
Chad,Sub-Saharan Africa,Chad,10657705072,Chad,148,11896.38,Chad,         Chad,148,51.13
Channel Islands,Europe & Central Asia,Channel Islands,,Channel Islands,830,159.583,Channel Islands,         Channel Islands,830,80.45
Chile,Latin America & Caribbean,Chile,2.17556E+11,Chile,152,17015.048,Chile,         Chile,152,81.21
China,East Asia & Pacific,China,5.93053E+12,China,156,1340968.737,China,         China,156,75.43
Colombia,Latin America & Caribbean,Colombia,2.87001E+11,Colombia,170,45918.101,Colombia,         Colombia,170,73.75
Comoros,Sub-Saharan Africa,Comoros,543376206.1,Comoros,174,698.695,Comoros,         Comoros,174,62.83
"Congo, Dem. Rep.",Sub-Saharan Africa,Democratic Republic of the Congo,13138775753,Democratic Republic of the Congo,180,65938.712,Democratic Republic of the Congo,         Democratic Republic of the Congo,180,58.1
"Congo, Rep.",Sub-Saharan Africa,Congo,12007880067,Congo,178,4066.078,Congo,         Congo,178,61.42
Costa Rica,Latin America & Caribbean,Costa Rica,36298327620,Costa Rica,188,4545.273,Costa Rica,         Costa Rica,188,79.16
Croatia,Europe & Central Asia,Croatia,58873839435,Croatia,191,4316.425,Croatia,         Croatia,191,77.05
Cuba,Latin America & Caribbean,Cuba,64328220000,Cuba,192,11308.133,Cuba,         Cuba,192,79.16
Cura?ao,Latin America & Caribbean,Cura?ao,,Cura?ao,531,147.605,Cura?ao,         Cura?ao,531,77.77
Cyprus,Europe & Central Asia,Cyprus,23132450331,Cyprus,196,1103.685,Cyprus,         Cyprus,196,79.9
