Economy,Region,Country,GDP_2010,country,Country code,Pop_2010,Location_trimmed,Location,numeric code,LE_2010
Afghanistan,South Asia,Afghanistan,15936784436.1811,Afghanistan,4.0,27962.207,Afghanistan, Afghanistan,4.0,59.82
Albania,Europe & Central Asia,Albania,11858166294.8409,Albania,8.0,2901.883,Albania,         Albania,8.0,77.49
Algeria,Middle East & North Africa,Algeria,161207304960.455,Algeria,12.0,36036.159,Algeria,         Algeria,12.0,74.42
American Samoa,East Asia & Pacific,American Samoa,..,American Samoa,16.0,55.636,,,,
Andorra,Europe & Central Asia,Andorra,..,Andorra,20.0,84.419,,,,
Angola,Sub-Saharan Africa,Angola,82470894868.33371,Angola,24.0,21219.954,Angola,         Angola,24.0,51.68
Antigua and Barbuda,Latin America & Caribbean,Antigua and Barbuda,1161528615.92593,Antigua and Barbuda,28.0,87.233,Antigua and Barbuda,         Antigua and Barbuda,28.0,75.82
Argentina,Latin America & Caribbean,Argentina,368736062143.669,Argentina,32.0,41222.875,Argentina,         Argentina,32.0,76.01
Armenia,Europe & Central Asia,Armenia,9260297329.12273,Armenia,51.0,2963.496,Armenia,         Armenia,51.0,74.56
Aruba,Latin America & Caribbean,Aruba,2467703910.61453,Aruba,533.0,101.597,Aruba,         Aruba,533.0,75.39
Australia,East Asia & Pacific,Australia,1141793593834.25,Australia,36.0,22162.863,Australia,         Australia,36.0,82.1
Austria,Europe & Central Asia,Austria,375217439473.684,Austria,40.0,8391.986,Austria,         Austria,40.0,81.09
Azerbaijan,Europe & Central Asia,Azerbaijan,52905998878.71429,Azerbaijan,31.0,9099.893,Azerbaijan,         Azerbaijan,31.0,70.62
"Bahamas, The",Latin America & Caribbean,,,,,,,,,
Bolivia,Latin America & Caribbean,,,,,,,,,
"Congo, Dem. Rep.",Sub-Saharan Africa,,,,,,,,,
"Congo, Rep.",Sub-Saharan Africa,,,,,,,,,
"Egypt, Arab Rep.",Middle East & North Africa,,,,,,,,,
"Gambia, The",Sub-Saharan Africa,,,,,,,,,
"Hong Kong SAR, China",East Asia & Pacific,,,,,,,,,
"Iran, Islamic Rep.",Middle East & North Africa,,,,,,,,,
"Korea, Dem. Rep.",East Asia & Pacific,,,,,,,,,
"Korea, Rep.",East Asia & Pacific,,,,,,,,,
Kosovo,Europe & Central Asia,,,,,,,,,
Kyrgyz Republic,Europe & Central Asia,,,,,,,,,
Lao PDR,East Asia & Pacific,,,,,,,,,
"Macao SAR, China",East Asia & Pacific,,,,,,,,,
"Macedonia, FYR",Europe & Central Asia,,,,,,,,,
"Micronesia, Fed. Sts.",East Asia & Pacific,,,,,,,,,
Moldova,Europe & Central Asia,,,,,,,,,
S?o Tom? and Principe,Sub-Saharan Africa,,,,,,,,,
Slovak Republic,Europe & Central Asia,,,,,,,,,
St. Kitts and Nevis,Latin America & Caribbean,,,,,,,,,
St. Lucia,Latin America & Caribbean,,,,,,,,,
St. Martin (French part),Latin America & Caribbean,,,,,,,,,
St. Vincent and the Grenadines,Latin America & Caribbean,,,,,,,,,
"Taiwan, China",East Asia & Pacific,,,,,,,,,
Tanzania,Sub-Saharan Africa,,,,,,,,,
United Kingdom,Europe & Central Asia,,,,,,,,,
United States,North America,,,,,,,,,
"Venezuela, RB",Latin America & Caribbean,,,,,,,,,
Vietnam,East Asia & Pacific,,,,,,,,,
Virgin Islands (U.S.),Latin America & Caribbean,,,,,,,,,
West Bank and Gaza,Middle East & North Africa,,,,,,,,,
"Yemen, Rep.",Middle East & North Africa,,,,,,,,,
Bahrain,Middle East & North Africa,Bahrain,25713571420.9726,Bahrain,48.0,1261.319,Bahrain,         Bahrain,48.0,76.38
Bangladesh,South Asia,Bangladesh,100357022443.833,Bangladesh,50.0,151616.777,Bangladesh,            Bangladesh,50.0,71.01
Barbados,Latin America & Caribbean,Barbados,4433700000,Barbados,52.0,279.566,Barbados,         Barbados,52.0,75.37
Belarus,Europe & Central Asia,Belarus,55220932613.958,Belarus,112.0,9492.122,Belarus,         Belarus,112.0,71.08
Belgium,Europe & Central Asia,Belgium,468078947368.421,Belgium,56.0,10929.978,Belgium,         Belgium,56.0,80.53
Belize,Latin America & Caribbean,Belize,1397900000,Belize,84.0,321.609,Belize,         Belize,84.0,69.76
Benin,Sub-Saharan Africa,Benin,6558416322.12,Benin,204.0,9509.798,Benin,         Benin,204.0,59.2
Bermuda,North America,Bermuda,5744414000,Bermuda,60.0,63.954,,,,
Bhutan,South Asia,Bhutan,1585319109.1083,Bhutan,64.0,720.246,Bhutan,            Bhutan,64.0,68.88
Bosnia and Herzegovina,Europe & Central Asia,Bosnia and Herzegovina,16775469777.6516,Bosnia and Herzegovina,70.0,3835.258,Bosnia and Herzegovina,         Bosnia and Herzegovina,70.0,76.26
Botswana,Sub-Saharan Africa,Botswana,13746712705.5936,Botswana,72.0,2047.831,Botswana,         Botswana,72.0,64.12
Brazil,Latin America & Caribbean,Brazil,2143035333258.24,Brazil,76.0,198614.208,Brazil,         Brazil,76.0,74.05
Brunei Darussalam,East Asia & Pacific,Brunei Darussalam,12369708858.9029,Brunei Darussalam,96.0,393.302,Brunei Darussalam,         Brunei Darussalam,96.0,78.44
Bulgaria,Europe & Central Asia,Bulgaria,47727325908.633,Bulgaria,100.0,7407.297,Bulgaria,         Bulgaria,100.0,74.04
