1	Toy Story	1995	9.0	8.5	3.7	3.9
2	Jumanji	1995	5.6	5.8	3.2	3.2
3	Grumpier Old Men	1995	5.9	7.0	3.2	3.2
4	Waiting to Exhale	1995	5.6	5.5	3.3	2.9
5	Father of the Bride Part II	1995	5.3	5.4	3.0	3.1
6	Heat	1995	7.7	7.2	3.9	3.8
7	Sabrina	1995	7.4	7.2	3.8	3.4
8	Tom and Huck	1995	4.2	0.0	2.7	3.1
9	Sudden Death	1995	5.2	5.6	2.6	3.0
10	GoldenEye	1995	6.8	6.2	3.4	3.4
11	American President, The	1995	7.0	7.2	3.2	3.7
12	Dracula: Dead and Loving It	1995	3.0	3.7	2.8	2.6
13	Balto	1995	5.8	0.0	3.2	3.2
14	Nixon	1995	6.7	6.1	3.5	3.4
15	Cutthroat Island	1995	4.4	4.7	2.6	2.7
16	Casino	1995	7.2	6.3	3.9	3.7
17	Sense and Sensibility	1995	7.9	8.1	3.8	4.0
18	Four Rooms	1995	3.5	2.9	3.5	3.3
19	Ace Ventura: When Nature Calls	1995	4.1	0.0	3.2	2.6
20	Money Train	1995	4.0	4.5	2.7	2.9
21	Get Shorty	1995	7.7	8.4	3.2	3.6
22	Copycat	1995	6.6	7.4	3.1	3.3
23	Assassins	1995	4.3	4.6	3.4	3.1
24	Powder	1995	5.2	4.9	3.1	3.2
25	Leaving Las Vegas	1995	7.7	8.1	3.6	3.7
26	Othello	1995	6.3	6.1	3.3	3.7
27	Now and Then	1995	4.7	5.2	3.5	3.4
28	Persuasion	1995	7.7	8.5	3.9	4.1
29	City of Lost Children, The (Cite des enfants perdus, La)	1995	7.0	7.2	4.0	4.0
30	Shanghai Triad (Yao a yao yao dao waipo qiao)	1995	6.8	0.0	3.6	3.7
31	Dangerous Minds	1995	4.7	5.0	3.1	3.3
32	12 Monkeys (Twelve Monkeys)	1995	0.0	0.0	0.0	3.9
33	Wings of Courage	1995	0.0	0.0	0.0	3.1
34	Babe	1995	8.2	8.2	3.0	3.7
35	Carrington	1995	6.2	7.4	3.5	3.5
36	Dead Man Walking	1995	8.2	7.9	3.6	4.0
37	Across the Sea of Time	1995	0.0	0.0	2.9	2.9
38	It Takes Two	1995	3.9	4.6	2.9	2.8
39	Clueless	1995	0.0	0.0	0.0	3.4
40	Cry, the Beloved Country	1995	7.2	0.0	3.5	3.6
41	Richard III	1995	8.1	7.6	3.7	3.9
42	Dead Presidents	1995	5.7	6.3	3.3	3.0
43	Restoration	1995	6.3	6.4	3.3	3.5
44	Mortal Kombat	1995	4.4	3.9	2.8	2.7
45	To Die For	1995	6.8	6.7	3.9	3.4
46	How to Make an American Quilt	1995	5.6	7.6	3.2	3.3
47	Seven (a.k.a. Se7en)	1995	9.2	8.6	4.5	4.0
